perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_0_5,cm_0_6,cm_0_7,cm_0_8,cm_0_9,cm_0_10,cm_0_11,cm_0_12,cm_0_13,cm_0_14,cm_0_15,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_1_8,cm_1_9,cm_1_10,cm_1_11,cm_1_12,cm_1_13,cm_1_14,cm_1_15,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_2_8,cm_2_9,cm_2_10,cm_2_11,cm_2_12,cm_2_13,cm_2_14,cm_2_15,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_3_8,cm_3_9,cm_3_10,cm_3_11,cm_3_12,cm_3_13,cm_3_14,cm_3_15,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_4_8,cm_4_9,cm_4_10,cm_4_11,cm_4_12,cm_4_13,cm_4_14,cm_4_15,cm_5_0,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_5_8,cm_5_9,cm_5_10,cm_5_11,cm_5_12,cm_5_13,cm_5_14,cm_5_15,cm_6_0,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_6_8,cm_6_9,cm_6_10,cm_6_11,cm_6_12,cm_6_13,cm_6_14,cm_6_15,cm_7_0,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,cm_7_8,cm_7_9,cm_7_10,cm_7_11,cm_7_12,cm_7_13,cm_7_14,cm_7_15,cm_8_0,cm_8_1,cm_8_2,cm_8_3,cm_8_4,cm_8_5,cm_8_6,cm_8_7,cm_8_8,cm_8_9,cm_8_10,cm_8_11,cm_8_12,cm_8_13,cm_8_14,cm_8_15,cm_9_0,cm_9_1,cm_9_2,cm_9_3,cm_9_4,cm_9_5,cm_9_6,cm_9_7,cm_9_8,cm_9_9,cm_9_10,cm_9_11,cm_9_12,cm_9_13,cm_9_14,cm_9_15,cm_10_0,cm_10_1,cm_10_2,cm_10_3,cm_10_4,cm_10_5,cm_10_6,cm_10_7,cm_10_8,cm_10_9,cm_10_10,cm_10_11,cm_10_12,cm_10_13,cm_10_14,cm_10_15,cm_11_0,cm_11_1,cm_11_2,cm_11_3,cm_11_4,cm_11_5,cm_11_6,cm_11_7,cm_11_8,cm_11_9,cm_11_10,cm_11_11,cm_11_12,cm_11_13,cm_11_14,cm_11_15,cm_12_0,cm_12_1,cm_12_2,cm_12_3,cm_12_4,cm_12_5,cm_12_6,cm_12_7,cm_12_8,cm_12_9,cm_12_10,cm_12_11,cm_12_12,cm_12_13,cm_12_14,cm_12_15,cm_13_0,cm_13_1,cm_13_2,cm_13_3,cm_13_4,cm_13_5,cm_13_6,cm_13_7,cm_13_8,cm_13_9,cm_13_10,cm_13_11,cm_13_12,cm_13_13,cm_13_14,cm_13_15,cm_14_0,cm_14_1,cm_14_2,cm_14_3,cm_14_4,cm_14_5,cm_14_6,cm_14_7,cm_14_8,cm_14_9,cm_14_10,cm_14_11,cm_14_12,cm_14_13,cm_14_14,cm_14_15,cm_15_0,cm_15_1,cm_15_2,cm_15_3,cm_15_4,cm_15_5,cm_15_6,cm_15_7,cm_15_8,cm_15_9,cm_15_10,cm_15_11,cm_15_12,cm_15_13,cm_15_14,cm_15_15,classifier
0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,0,0,147,0,0,11,0,0,0,0,6,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1634,0,0,0,30,119,0,216,0,0,0,0,0,0,0,40,0,1960,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1988,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,17,504,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1981,16,0,0,0,0,0,0,0,0,0,0,0,0,43,2,17,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,EAC_25NN
5,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,0,0,146,0,0,40,0,0,0,0,2,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1618,0,0,0,20,117,0,198,0,0,0,0,0,0,0,40,0,1960,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1984,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,20,564,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1986,11,0,0,0,0,0,0,37,0,0,0,0,0,38,4,11,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,EAC_25NN
10,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,0,0,142,0,0,73,3,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,1590,0,0,0,11,99,0,133,0,0,0,0,0,0,0,40,0,1960,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1980,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1981,0,0,9,7,0,0,0,0,0,0,32,0,0,0,0,0,1965,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,1322,20,636,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1970,8,0,0,0,0,0,0,209,0,0,0,0,0,2,5,10,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,EAC_25NN
15,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,134,0,0,142,9,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1584,0,0,0,3,64,0,139,0,0,0,2,0,0,0,40,0,1958,0,0,0,0,0,0,0,0,0,0,53,0,2,0,0,0,1944,0,0,1,0,0,0,0,0,0,0,0,2,50,0,0,0,1891,0,1,54,2,0,0,0,0,0,0,251,0,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,1233,20,625,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1964,5,0,0,0,0,0,0,383,0,0,0,0,0,0,3,8,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,EAC_25NN
20,1804,0,0,0,0,0,13,0,0,0,0,0,0,2,181,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,0,1,128,0,0,228,15,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,7,0,0,20,0,0,0,0,0,0,0,247,0,1574,0,0,0,1,43,0,135,0,0,0,7,0,8,0,40,0,1942,0,2,0,0,1,0,0,0,0,0,141,0,2,0,0,0,1857,0,0,0,0,0,0,0,0,0,0,0,18,107,0,0,0,1737,0,0,134,4,0,0,0,0,0,0,361,0,0,0,0,0,1639,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,1147,20,510,0,0,0,0,0,0,41,1,0,0,0,0,0,0,1953,5,0,0,0,0,0,0,431,0,0,0,0,1,0,4,6,1558,0,0,111,0,0,0,0,0,0,1,0,0,0,0,0,58,1830,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1995,EAC_25NN
25,1704,0,0,0,0,0,46,0,0,0,0,0,0,4,246,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,0,4,120,0,0,320,21,0,0,0,0,0,0,0,5,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,1921,0,0,0,35,0,0,44,0,0,0,0,0,2,0,285,0,1563,0,0,0,0,21,0,129,0,0,0,48,0,19,0,39,0,1877,0,16,0,0,1,0,0,0,0,0,288,0,7,0,0,0,1705,0,0,0,0,0,0,0,0,0,0,0,25,159,0,1,0,1601,0,0,213,1,0,0,0,0,0,0,477,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,1062,20,398,0,0,0,0,0,0,47,8,0,0,0,1,0,0,1940,4,0,0,0,0,0,0,491,0,0,0,0,2,0,3,5,1499,0,0,151,0,0,0,0,0,0,2,0,0,0,0,0,88,1759,0,0,0,17,0,7,0,0,0,0,0,0,73,0,0,0,1903,EAC_25NN
30,1574,0,0,0,0,0,108,0,0,0,0,0,0,5,313,0,0,1990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,4,96,0,0,394,45,0,0,0,0,0,0,0,23,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,1843,0,0,0,84,0,0,73,0,0,0,0,0,52,0,327,0,1494,0,0,0,0,6,0,121,0,0,0,82,0,63,0,39,0,1793,0,21,0,0,2,0,0,0,0,0,493,0,10,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,29,196,0,1,0,1517,0,0,256,1,0,0,0,0,0,0,560,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,1020,19,237,0,0,0,0,0,0,52,12,0,0,0,6,0,0,1926,4,0,0,0,0,0,0,571,0,0,0,0,2,0,5,3,1419,0,0,189,0,0,0,0,0,0,3,0,0,0,0,0,110,1698,0,0,0,59,0,26,0,0,0,0,0,0,340,0,0,0,1575,EAC_25NN
35,1390,0,0,0,0,0,221,0,0,0,0,0,0,5,384,0,0,1913,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,8,91,0,0,440,50,0,0,2,0,0,0,0,110,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,1744,0,0,0,151,0,0,105,0,0,0,0,0,115,0,343,0,1397,0,0,0,0,4,0,141,0,0,0,143,0,129,0,38,0,1661,0,28,0,0,1,0,0,0,0,0,736,0,11,0,0,0,1253,0,0,0,0,0,0,0,0,4,0,0,30,213,0,11,0,1450,0,0,292,0,0,0,0,0,0,0,643,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,978,18,140,0,0,0,0,0,0,54,33,0,0,0,44,0,0,1865,4,0,0,0,0,0,0,746,0,0,0,0,11,0,2,0,1241,0,0,303,0,0,0,0,0,0,3,0,0,0,0,0,150,1544,0,0,0,179,0,55,0,0,0,0,0,0,486,0,0,0,1280,EAC_25NN
40,1215,0,0,0,0,0,289,0,0,0,0,0,0,6,490,0,0,1711,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,8,77,0,0,521,68,0,0,3,0,0,0,0,276,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,1621,0,0,0,247,0,0,132,0,0,0,0,0,175,0,358,0,1317,0,0,0,0,2,0,148,0,0,0,218,0,203,0,30,0,1500,0,44,0,0,5,0,0,0,0,0,925,0,16,0,0,0,1059,0,0,0,0,0,0,0,0,7,0,0,29,221,0,12,0,1385,0,0,346,0,0,0,0,0,0,0,732,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,3,923,18,78,0,0,0,0,0,0,57,63,0,0,0,122,0,0,1757,1,0,0,0,0,0,0,867,0,0,0,0,13,0,3,0,1117,0,0,507,0,0,0,0,0,0,5,0,0,0,0,0,193,1295,0,0,0,237,0,66,0,0,0,0,0,0,456,0,0,0,1241,EAC_25NN
45,1069,0,0,0,0,0,350,0,0,0,0,0,0,14,567,0,0,1341,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,0,9,63,0,0,616,81,0,0,4,0,0,0,0,499,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,410,0,0,160,0,0,0,0,0,231,0,386,0,1257,0,0,0,0,2,0,124,0,0,0,335,0,265,0,24,0,1309,0,63,0,0,4,0,0,0,0,0,1080,0,19,0,0,0,901,0,0,0,0,0,0,0,0,16,0,3,32,216,0,13,0,1344,0,0,376,0,0,0,0,0,0,0,864,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,1,5,837,16,46,0,0,0,0,0,0,62,102,0,1,0,260,0,0,1574,1,0,0,0,0,0,0,1000,0,0,0,0,16,0,5,0,979,0,0,652,0,0,0,0,0,0,8,0,0,0,0,0,226,1114,0,0,0,216,0,91,0,0,0,0,0,0,463,0,0,0,1230,EAC_25NN
