perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_0_5,cm_0_6,cm_0_7,cm_0_8,cm_0_9,cm_0_10,cm_0_11,cm_0_12,cm_0_13,cm_0_14,cm_0_15,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_1_8,cm_1_9,cm_1_10,cm_1_11,cm_1_12,cm_1_13,cm_1_14,cm_1_15,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_2_8,cm_2_9,cm_2_10,cm_2_11,cm_2_12,cm_2_13,cm_2_14,cm_2_15,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_3_8,cm_3_9,cm_3_10,cm_3_11,cm_3_12,cm_3_13,cm_3_14,cm_3_15,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_4_8,cm_4_9,cm_4_10,cm_4_11,cm_4_12,cm_4_13,cm_4_14,cm_4_15,cm_5_0,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_5_8,cm_5_9,cm_5_10,cm_5_11,cm_5_12,cm_5_13,cm_5_14,cm_5_15,cm_6_0,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_6_8,cm_6_9,cm_6_10,cm_6_11,cm_6_12,cm_6_13,cm_6_14,cm_6_15,cm_7_0,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,cm_7_8,cm_7_9,cm_7_10,cm_7_11,cm_7_12,cm_7_13,cm_7_14,cm_7_15,cm_8_0,cm_8_1,cm_8_2,cm_8_3,cm_8_4,cm_8_5,cm_8_6,cm_8_7,cm_8_8,cm_8_9,cm_8_10,cm_8_11,cm_8_12,cm_8_13,cm_8_14,cm_8_15,cm_9_0,cm_9_1,cm_9_2,cm_9_3,cm_9_4,cm_9_5,cm_9_6,cm_9_7,cm_9_8,cm_9_9,cm_9_10,cm_9_11,cm_9_12,cm_9_13,cm_9_14,cm_9_15,cm_10_0,cm_10_1,cm_10_2,cm_10_3,cm_10_4,cm_10_5,cm_10_6,cm_10_7,cm_10_8,cm_10_9,cm_10_10,cm_10_11,cm_10_12,cm_10_13,cm_10_14,cm_10_15,cm_11_0,cm_11_1,cm_11_2,cm_11_3,cm_11_4,cm_11_5,cm_11_6,cm_11_7,cm_11_8,cm_11_9,cm_11_10,cm_11_11,cm_11_12,cm_11_13,cm_11_14,cm_11_15,cm_12_0,cm_12_1,cm_12_2,cm_12_3,cm_12_4,cm_12_5,cm_12_6,cm_12_7,cm_12_8,cm_12_9,cm_12_10,cm_12_11,cm_12_12,cm_12_13,cm_12_14,cm_12_15,cm_13_0,cm_13_1,cm_13_2,cm_13_3,cm_13_4,cm_13_5,cm_13_6,cm_13_7,cm_13_8,cm_13_9,cm_13_10,cm_13_11,cm_13_12,cm_13_13,cm_13_14,cm_13_15,cm_14_0,cm_14_1,cm_14_2,cm_14_3,cm_14_4,cm_14_5,cm_14_6,cm_14_7,cm_14_8,cm_14_9,cm_14_10,cm_14_11,cm_14_12,cm_14_13,cm_14_14,cm_14_15,cm_15_0,cm_15_1,cm_15_2,cm_15_3,cm_15_4,cm_15_5,cm_15_6,cm_15_7,cm_15_8,cm_15_9,cm_15_10,cm_15_11,cm_15_12,cm_15_13,cm_15_14,cm_15_15,classifier
0,1975,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1668,0,0,0,0,0,34,0,63,80,0,0,0,0,155,0,0,596,0,0,15,0,0,1280,0,0,11,0,0,0,98,0,0,0,1752,0,0,0,0,0,228,20,0,0,0,0,0,0,0,0,0,1004,0,8,0,0,0,649,339,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,219,2,60,0,0,24,0,0,0,0,87,0,1761,0,0,0,144,1,0,7,0,0,0,0,0,0,0,12,0,1544,0,37,162,0,228,0,0,17,4,0,473,0,48,1,8,0,1303,0,38,60,0,0,0,65,0,159,0,103,45,1,0,35,0,1360,79,0,198,0,0,20,0,0,0,0,9,99,0,0,0,1,1871,0,20,0,0,0,0,0,0,0,270,0,0,0,0,0,0,1710,0,0,0,20,0,0,0,0,8,148,0,3,0,97,20,0,1724,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1995,0,0,0,0,0,0,19,0,0,0,0,132,83,0,0,0,1766,WDI_1NN
5,1978,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1708,0,0,0,19,0,38,0,29,58,0,0,0,0,148,0,0,633,0,0,12,0,0,1245,0,0,2,0,0,0,108,0,0,0,1814,0,0,0,0,0,166,20,0,0,0,0,0,0,0,0,0,1236,0,0,0,0,0,434,330,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,127,0,49,0,0,18,0,0,0,0,142,0,1754,0,0,0,97,1,0,3,0,3,0,4,0,0,0,22,0,1680,0,23,77,0,183,0,0,11,1,0,445,0,52,0,3,0,1360,0,21,60,0,0,0,58,0,157,0,87,27,3,0,37,0,1425,75,0,169,0,0,20,0,0,0,0,55,74,0,0,0,0,1849,0,22,0,0,0,0,0,0,0,279,0,0,0,0,0,0,1718,0,1,0,2,0,0,0,0,15,125,0,1,0,77,20,0,1762,0,0,0,0,0,0,0,22,0,0,0,0,0,39,0,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1991,0,0,0,0,0,0,14,0,0,0,0,93,34,0,0,0,1859,WDI_1NN
10,1982,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1749,0,0,0,36,0,50,0,13,16,0,0,0,0,136,0,0,702,0,0,6,0,0,1178,0,0,1,0,0,0,113,0,0,0,1843,0,0,0,0,0,137,20,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,328,308,0,1,0,0,0,0,0,0,0,1869,0,0,0,9,63,0,31,0,0,28,0,0,0,0,160,0,1753,0,0,0,80,1,0,3,0,3,0,26,0,0,0,30,0,1691,0,55,20,0,167,0,0,11,0,0,494,0,48,0,1,0,1333,0,22,60,0,0,0,42,0,161,0,64,21,12,0,46,0,1462,64,0,152,0,0,18,0,0,0,0,57,63,0,0,0,0,1860,0,20,0,0,0,0,0,0,0,282,0,0,0,0,0,0,1714,2,2,0,0,0,0,0,0,18,131,0,1,0,60,21,0,1769,0,0,0,0,0,0,0,76,0,0,0,0,0,46,0,1,1877,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,1958,0,0,0,0,0,0,3,0,0,0,0,63,22,0,0,0,1912,WDI_1NN
15,1977,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1774,0,6,0,24,0,59,0,11,0,0,0,0,0,126,0,0,774,0,0,9,0,0,1117,0,0,2,0,0,0,98,0,0,0,1899,0,0,0,0,0,81,20,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,305,250,0,5,0,0,0,0,2,0,0,1929,0,0,1,19,13,0,17,0,0,19,0,0,0,0,171,0,1749,0,0,0,73,1,0,2,0,4,0,50,0,0,0,32,0,1664,0,85,5,0,156,0,0,8,0,0,573,0,46,0,1,0,1262,0,9,56,0,0,0,53,0,161,0,52,14,17,0,49,0,1495,60,0,134,0,0,18,0,0,0,0,53,60,0,0,0,0,1865,0,22,0,0,0,0,0,0,0,273,0,0,0,0,0,0,1724,1,2,0,0,0,0,0,0,19,130,0,0,0,56,21,0,1774,0,0,0,0,0,0,0,139,0,0,0,0,0,39,0,1,1821,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,76,1905,0,0,0,0,0,0,8,0,0,0,0,19,24,0,0,0,1949,WDI_1NN
20,1979,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,1801,0,9,0,20,0,46,0,6,0,0,0,0,0,118,0,0,873,0,0,11,0,0,1037,0,0,2,0,0,0,77,0,0,0,1926,0,0,0,0,0,54,20,0,0,0,0,0,0,0,0,0,1556,0,0,0,0,0,271,166,0,7,0,0,0,0,2,0,0,1922,0,0,2,50,0,0,15,0,0,9,0,0,0,0,171,0,1756,0,0,0,67,0,0,1,0,5,0,79,0,1,0,37,0,1632,0,114,2,0,128,0,0,7,0,0,644,0,41,1,1,0,1199,0,2,52,0,1,0,59,0,164,0,46,16,20,0,46,0,1514,60,0,119,0,0,15,0,0,0,0,66,47,0,0,0,0,1859,0,28,0,0,0,0,0,0,0,281,0,0,0,0,0,0,1711,1,7,0,0,0,0,0,0,19,131,0,0,0,49,20,0,1781,0,0,0,0,0,0,0,238,0,0,0,0,0,28,0,1,1733,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,84,1895,0,0,0,0,0,0,18,0,0,0,0,0,39,0,0,0,1943,WDI_1NN
25,1968,0,0,0,0,0,13,0,0,0,0,0,0,19,0,0,0,1824,0,5,0,16,0,36,0,2,0,0,0,0,0,117,0,0,919,0,0,15,0,0,1024,0,0,10,0,0,0,32,0,5,0,1951,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,1566,0,0,0,0,0,315,108,0,11,0,0,0,0,2,0,0,1895,0,0,3,85,0,0,12,0,0,3,0,0,0,0,154,0,1757,0,0,1,73,2,0,1,0,12,0,108,0,25,0,40,0,1545,0,185,1,0,92,0,0,4,0,0,691,0,37,5,1,0,1165,1,3,45,0,0,0,52,0,154,0,44,18,30,0,50,0,1523,61,0,111,0,0,9,0,0,0,0,71,33,0,0,0,0,1860,0,36,0,0,0,0,0,0,0,269,0,0,0,0,0,0,1720,0,11,0,0,0,0,0,0,20,116,0,0,0,45,20,0,1799,0,0,0,0,0,0,0,303,0,0,0,0,0,31,0,1,1665,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,102,1870,0,0,0,3,0,0,36,0,0,0,0,0,74,0,0,0,1887,WDI_1NN
30,1940,0,0,0,0,0,46,0,0,0,0,0,0,12,2,0,0,1804,0,31,0,17,0,32,0,1,0,0,0,0,0,115,0,0,940,0,0,18,0,0,1017,0,0,16,0,0,0,9,0,9,0,1957,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,1563,0,0,0,0,0,363,63,0,11,0,0,0,0,2,0,0,1855,0,0,3,130,0,0,10,0,0,0,0,0,2,0,128,0,1744,0,1,1,88,6,0,1,0,29,0,143,0,62,0,49,0,1417,0,278,1,0,48,0,0,2,0,0,740,0,32,9,1,0,1127,2,4,40,0,0,0,45,0,141,0,53,12,36,0,52,0,1521,62,0,116,0,0,7,0,0,0,0,52,31,0,0,0,0,1880,0,37,0,0,0,0,0,0,0,258,0,0,0,0,0,0,1726,0,16,0,0,0,0,0,0,20,109,0,0,0,47,20,0,1804,0,0,0,0,0,0,0,323,0,1,0,0,0,28,0,1,1647,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,111,1861,0,0,0,31,0,0,57,0,0,0,0,0,118,0,0,0,1794,WDI_1NN
35,1904,0,0,0,0,0,75,0,0,0,0,0,0,8,13,0,0,1641,0,197,0,16,0,29,0,2,0,0,0,0,0,115,0,0,955,0,0,18,0,0,1008,0,0,17,0,0,0,2,0,38,0,1936,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,439,52,0,8,0,0,0,0,2,0,0,1784,0,0,5,199,1,0,9,0,0,0,0,0,8,0,114,0,1713,0,0,1,91,12,0,4,0,57,0,154,0,116,0,55,0,1318,0,328,0,0,28,0,0,1,0,0,787,0,22,13,0,0,1097,6,3,39,0,0,0,33,0,123,0,67,10,44,0,47,0,1512,60,0,129,0,0,8,0,0,0,0,58,25,0,0,0,0,1874,0,43,0,0,0,0,0,0,0,265,0,0,0,0,0,0,1726,0,9,0,0,0,0,0,0,19,115,0,0,0,49,20,0,1797,0,0,0,0,0,0,0,300,0,2,0,0,0,25,2,1,1670,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,123,1840,0,0,0,123,0,0,83,1,0,0,0,0,149,0,0,0,1644,WDI_1NN
40,1805,0,0,0,0,0,117,0,0,0,0,0,0,10,68,0,0,1419,0,432,0,9,0,24,0,0,0,0,0,0,0,116,0,0,1014,0,0,18,0,0,950,1,0,17,0,0,0,0,0,165,0,1813,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,495,73,0,7,0,0,0,0,3,0,0,1707,0,0,7,274,0,0,9,0,0,0,0,0,18,0,84,0,1676,0,0,2,96,28,0,7,0,89,0,170,0,133,0,52,0,1244,0,379,0,0,21,0,0,1,0,0,919,0,11,15,0,0,991,12,2,37,0,0,0,13,0,112,0,83,8,45,0,51,0,1492,60,0,144,0,0,5,0,0,0,0,35,34,0,0,0,0,1889,0,42,0,0,0,0,0,0,0,247,0,0,0,0,0,0,1747,0,6,0,0,0,0,0,0,18,124,0,0,0,57,20,0,1781,0,0,0,0,0,0,0,299,0,1,0,0,0,9,11,0,1678,2,0,56,0,0,0,0,0,0,0,0,0,0,0,7,135,1802,0,0,0,207,0,0,87,1,0,0,10,0,163,0,0,0,1532,WDI_1NN
45,1521,0,0,0,0,0,191,0,0,0,0,0,0,12,276,0,0,1114,0,741,0,13,0,14,0,0,0,0,0,0,0,118,0,0,963,0,0,16,0,0,1000,3,0,18,0,0,0,0,0,471,0,1511,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,549,102,0,8,0,0,0,0,6,0,0,1633,0,0,7,343,0,0,11,0,0,0,0,0,46,0,60,0,1620,0,0,4,90,45,0,20,0,115,0,184,0,169,0,58,0,1163,0,406,0,0,19,0,0,1,0,0,924,0,3,15,1,0,995,15,1,39,0,0,0,7,0,131,0,109,5,50,0,49,0,1426,60,0,166,0,0,4,0,0,0,0,32,39,0,0,0,0,1893,0,36,0,0,0,0,0,0,0,249,0,0,0,0,0,0,1747,0,4,0,0,0,0,0,0,17,123,0,0,0,70,20,0,1770,0,0,0,0,0,0,0,299,0,1,0,0,0,3,18,1,1674,4,0,122,0,0,0,0,0,1,0,0,0,0,0,14,149,1714,0,0,0,249,0,0,123,1,0,0,17,0,180,0,0,0,1430,WDI_1NN
