perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3749,34,169,47,1,0,3976,0,24,0,99,22,3876,3,0,11,805,0,3184,0,0,494,0,0,3506,ACM_SVM
5,3749,41,188,22,0,13,3983,0,4,0,112,23,3865,0,0,33,913,0,3054,0,0,655,0,0,3345,ACM_SVM
10,3759,44,187,10,0,11,3989,0,0,0,133,22,3845,0,0,37,1024,0,2939,0,0,802,0,0,3198,ACM_SVM
15,3772,44,180,4,0,8,3992,0,0,0,145,22,3833,0,0,38,1130,0,2832,0,0,953,0,0,3047,ACM_SVM
20,3782,39,177,2,0,20,3980,0,0,0,168,20,3812,0,0,35,1229,0,2736,0,0,1103,0,0,2897,ACM_SVM
25,3789,29,180,2,0,35,3965,0,0,0,212,21,3767,0,0,34,1333,0,2633,0,0,1220,0,0,2780,ACM_SVM
30,3815,24,157,4,0,67,3933,0,0,0,290,20,3690,0,0,32,1453,0,2515,0,0,1321,0,0,2679,ACM_SVM
35,3836,16,145,3,0,103,3897,0,0,0,420,20,3560,0,0,32,1578,0,2390,0,0,1457,0,0,2543,ACM_SVM
40,3824,15,159,2,0,163,3837,0,0,0,596,20,3384,0,0,30,1746,0,2224,0,0,1605,0,0,2395,ACM_SVM
45,3697,12,287,4,0,205,3795,0,0,0,947,20,3033,0,0,29,1960,0,2011,0,3,1762,0,0,2235,ACM_SVM
50,3248,10,737,5,0,259,3741,0,0,0,1917,20,2063,0,0,31,2425,0,1544,0,7,1978,0,0,2015,ACM_SVM
55,2798,9,1190,3,0,353,3644,0,3,0,3040,20,940,0,0,31,3251,3,715,0,13,2207,0,0,1780,ACM_SVM
60,1845,11,2141,3,0,453,3517,0,30,0,3483,20,497,0,0,31,3450,5,514,0,20,2568,0,0,1412,ACM_SVM
65,1038,13,2948,1,0,788,3055,0,157,0,3678,17,305,0,0,50,3658,8,284,0,42,2903,0,8,1047,ACM_SVM
70,861,15,3122,2,0,1386,2093,0,521,0,3823,10,167,0,0,105,3698,9,188,0,92,3137,0,31,740,ACM_SVM
75,772,15,3210,3,0,2206,713,0,1081,0,3885,6,109,0,0,185,3631,9,175,0,173,3371,0,84,372,ACM_SVM
80,689,16,3291,4,0,2627,85,0,1287,1,3916,1,79,4,0,261,3486,11,242,0,267,3402,0,134,197,ACM_SVM
85,621,18,3357,4,0,2665,12,0,1307,16,3937,0,58,5,0,293,3405,11,290,1,313,3386,0,164,137,ACM_SVM
90,555,23,3418,4,0,2498,4,0,1481,17,3929,0,66,5,0,316,3352,12,317,3,313,3357,0,217,113,ACM_SVM
95,503,23,3470,4,0,2348,3,0,1632,17,3918,0,77,5,0,373,3313,9,302,3,336,3335,0,240,89,ACM_SVM
100,373,28,3595,4,0,2419,1,0,1580,0,3908,0,87,5,0,445,3295,7,253,0,367,3376,0,257,0,ACM_SVM
