perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.92,0.87,0.935,0.925,0.935,0.91,0.9,0.925,0.91,0.925,0.94,0.9,0.915,0.935,0.89,0.905,0.895,0.915,0.895,0.945,0.905,0.91,0.9,0.91,0.95,0.915,0.93,0.9,0.915,0.895,0.935,0.875,0.93,0.915,0.895,0.915,0.905,0.905,0.93,0.925,0.92,0.92,0.89,0.905,0.95,0.92,0.94,0.895,0.915,0.905,0.885,0.865,0.92,0.945,0.95,0.88,0.91,0.92,0.94,0.925,0.945,0.895,0.925,0.925,0.905,0.925,0.885,0.91,0.91,0.945,0.93,0.91,0.91,0.915,0.905,0.92,0.9,0.915,0.915,0.95,0.885,0.92,0.92,0.935,0.895,0.9,0.93,0.865,0.95,0.905,0.925,0.915,0.915,0.93,0.895,0.925,0.935,0.88,0.895,0.945,0.9145500000000003
5,0.91,0.855,0.915,0.885,0.915,0.9,0.885,0.92,0.89,0.91,0.93,0.905,0.895,0.9,0.885,0.905,0.88,0.9,0.88,0.935,0.9,0.895,0.89,0.885,0.935,0.895,0.94,0.885,0.915,0.875,0.925,0.855,0.895,0.91,0.89,0.895,0.895,0.885,0.91,0.91,0.9,0.905,0.88,0.895,0.925,0.91,0.94,0.88,0.89,0.89,0.885,0.855,0.9,0.94,0.935,0.87,0.895,0.9,0.935,0.905,0.91,0.885,0.905,0.895,0.875,0.915,0.88,0.875,0.9,0.93,0.925,0.895,0.9,0.89,0.895,0.905,0.88,0.885,0.895,0.935,0.88,0.905,0.9,0.925,0.87,0.885,0.915,0.855,0.94,0.89,0.925,0.9,0.895,0.905,0.89,0.895,0.925,0.87,0.865,0.95,0.8998
10,0.895,0.85,0.89,0.87,0.905,0.885,0.865,0.89,0.885,0.9,0.915,0.88,0.88,0.9,0.87,0.875,0.845,0.895,0.87,0.92,0.875,0.895,0.885,0.885,0.915,0.9,0.925,0.855,0.9,0.865,0.92,0.85,0.875,0.905,0.885,0.885,0.895,0.86,0.92,0.89,0.88,0.885,0.86,0.885,0.925,0.895,0.925,0.86,0.885,0.88,0.88,0.835,0.9,0.925,0.91,0.85,0.88,0.88,0.925,0.885,0.9,0.875,0.895,0.875,0.87,0.91,0.865,0.855,0.885,0.92,0.92,0.885,0.87,0.88,0.89,0.9,0.875,0.875,0.875,0.925,0.845,0.895,0.895,0.92,0.865,0.885,0.905,0.85,0.92,0.87,0.905,0.885,0.87,0.885,0.885,0.87,0.905,0.86,0.855,0.915,0.8865000000000003
15,0.875,0.835,0.88,0.85,0.9,0.885,0.855,0.87,0.86,0.9,0.895,0.86,0.865,0.885,0.85,0.87,0.835,0.88,0.865,0.91,0.86,0.905,0.865,0.87,0.905,0.89,0.915,0.845,0.895,0.855,0.9,0.84,0.855,0.88,0.88,0.89,0.89,0.84,0.905,0.875,0.865,0.875,0.845,0.865,0.915,0.895,0.9,0.86,0.87,0.87,0.86,0.805,0.885,0.925,0.91,0.84,0.875,0.865,0.915,0.865,0.89,0.865,0.875,0.865,0.86,0.905,0.85,0.84,0.875,0.925,0.9,0.885,0.85,0.86,0.885,0.88,0.85,0.88,0.85,0.9,0.84,0.87,0.89,0.92,0.835,0.87,0.88,0.84,0.905,0.865,0.895,0.87,0.85,0.86,0.87,0.875,0.88,0.825,0.855,0.905,0.8737999999999999
20,0.845,0.805,0.865,0.84,0.89,0.875,0.845,0.855,0.835,0.88,0.9,0.845,0.845,0.865,0.84,0.87,0.825,0.85,0.865,0.89,0.84,0.885,0.835,0.84,0.895,0.875,0.895,0.83,0.865,0.83,0.89,0.83,0.85,0.86,0.87,0.875,0.87,0.83,0.895,0.87,0.845,0.87,0.845,0.84,0.905,0.875,0.895,0.845,0.865,0.845,0.845,0.8,0.87,0.89,0.9,0.84,0.86,0.85,0.895,0.855,0.87,0.86,0.86,0.87,0.82,0.905,0.825,0.845,0.88,0.875,0.87,0.87,0.825,0.865,0.86,0.88,0.845,0.87,0.84,0.885,0.83,0.87,0.88,0.905,0.835,0.855,0.875,0.82,0.9,0.85,0.86,0.86,0.845,0.855,0.875,0.87,0.87,0.83,0.85,0.885,0.8603500000000001
25,0.82,0.82,0.86,0.825,0.88,0.845,0.83,0.845,0.835,0.86,0.885,0.845,0.835,0.86,0.82,0.865,0.82,0.825,0.85,0.875,0.835,0.865,0.81,0.835,0.885,0.87,0.885,0.815,0.845,0.825,0.865,0.83,0.84,0.85,0.845,0.875,0.85,0.805,0.88,0.855,0.84,0.855,0.83,0.83,0.89,0.855,0.875,0.825,0.85,0.815,0.835,0.795,0.855,0.89,0.885,0.825,0.84,0.835,0.885,0.84,0.835,0.855,0.855,0.865,0.82,0.865,0.82,0.825,0.85,0.86,0.87,0.845,0.805,0.86,0.86,0.86,0.81,0.825,0.825,0.875,0.825,0.865,0.85,0.9,0.82,0.84,0.875,0.8,0.89,0.84,0.85,0.835,0.845,0.855,0.86,0.855,0.855,0.825,0.835,0.85,0.8467
30,0.815,0.82,0.845,0.8,0.87,0.835,0.815,0.825,0.83,0.84,0.87,0.83,0.82,0.84,0.815,0.86,0.81,0.825,0.84,0.85,0.8,0.86,0.785,0.83,0.87,0.87,0.85,0.805,0.825,0.82,0.855,0.81,0.835,0.835,0.83,0.85,0.845,0.805,0.865,0.845,0.835,0.85,0.8,0.825,0.865,0.84,0.88,0.785,0.835,0.78,0.825,0.79,0.825,0.855,0.87,0.815,0.82,0.82,0.86,0.825,0.84,0.855,0.84,0.855,0.81,0.86,0.815,0.79,0.835,0.855,0.845,0.835,0.8,0.845,0.835,0.855,0.79,0.815,0.805,0.85,0.815,0.85,0.84,0.88,0.79,0.845,0.865,0.785,0.865,0.795,0.815,0.81,0.815,0.81,0.855,0.85,0.84,0.8,0.83,0.83,0.8315999999999998
35,0.785,0.785,0.835,0.795,0.845,0.825,0.77,0.81,0.795,0.83,0.83,0.805,0.805,0.81,0.805,0.835,0.81,0.78,0.81,0.805,0.785,0.855,0.785,0.82,0.86,0.855,0.855,0.79,0.83,0.8,0.84,0.805,0.785,0.8,0.825,0.83,0.83,0.78,0.87,0.825,0.82,0.805,0.8,0.805,0.825,0.825,0.85,0.755,0.805,0.755,0.805,0.785,0.815,0.825,0.835,0.785,0.79,0.8,0.845,0.81,0.8,0.835,0.825,0.81,0.8,0.845,0.815,0.785,0.805,0.825,0.805,0.815,0.78,0.82,0.805,0.84,0.76,0.815,0.785,0.83,0.785,0.82,0.825,0.865,0.78,0.825,0.855,0.775,0.855,0.745,0.805,0.805,0.785,0.8,0.835,0.815,0.82,0.785,0.81,0.805,0.8112999999999999
40,0.74,0.755,0.81,0.77,0.83,0.8,0.75,0.785,0.775,0.8,0.795,0.785,0.77,0.79,0.775,0.815,0.785,0.76,0.77,0.78,0.745,0.845,0.75,0.805,0.835,0.83,0.825,0.735,0.79,0.79,0.84,0.76,0.745,0.755,0.81,0.805,0.785,0.74,0.835,0.795,0.795,0.745,0.765,0.785,0.805,0.81,0.835,0.73,0.75,0.725,0.785,0.76,0.77,0.815,0.8,0.77,0.76,0.76,0.815,0.75,0.775,0.8,0.79,0.785,0.79,0.825,0.785,0.74,0.78,0.815,0.75,0.8,0.77,0.83,0.76,0.795,0.7,0.78,0.755,0.795,0.775,0.8,0.805,0.825,0.76,0.805,0.82,0.765,0.83,0.73,0.78,0.75,0.75,0.79,0.815,0.79,0.775,0.76,0.78,0.805,0.7832000000000002
45,0.665,0.69,0.785,0.75,0.79,0.755,0.7,0.73,0.735,0.76,0.78,0.75,0.725,0.77,0.685,0.775,0.7,0.7,0.745,0.745,0.66,0.81,0.71,0.755,0.795,0.805,0.765,0.66,0.725,0.76,0.8,0.725,0.72,0.725,0.755,0.78,0.75,0.695,0.8,0.74,0.77,0.735,0.745,0.76,0.77,0.78,0.795,0.7,0.66,0.7,0.795,0.73,0.705,0.77,0.75,0.745,0.61,0.71,0.795,0.71,0.73,0.76,0.775,0.695,0.77,0.775,0.755,0.61,0.73,0.775,0.685,0.715,0.745,0.775,0.725,0.725,0.69,0.735,0.715,0.75,0.73,0.745,0.765,0.78,0.7,0.79,0.76,0.735,0.775,0.695,0.735,0.69,0.74,0.76,0.775,0.755,0.755,0.73,0.705,0.695,0.73855
