perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.995,0.995,0.995,0.995,0.995,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.99,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.995,1.0,0.995,0.995,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.995,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1.0,0.995,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.995,1.0,0.995,0.995,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,0.995,1.0,0.995,1.0,1.0,1.0,0.9983
5,1.0,0.995,0.99,0.995,1.0,0.995,0.985,0.99,0.99,0.995,0.99,0.995,0.99,0.99,0.995,0.99,1.0,1.0,0.995,0.99,0.99,0.995,0.99,1.0,0.99,0.995,1.0,0.985,1.0,0.985,1.0,0.99,0.995,0.985,0.99,0.99,0.995,1.0,0.99,0.995,1.0,0.99,0.985,0.99,0.995,0.995,0.995,0.985,1.0,0.995,0.995,1.0,0.995,0.995,0.99,1.0,0.995,0.99,0.99,0.995,1.0,0.995,1.0,0.995,0.99,1.0,0.975,1.0,0.99,0.99,0.995,0.995,0.99,0.985,1.0,1.0,0.985,0.995,0.995,1.0,0.995,1.0,0.995,0.99,0.985,0.985,0.995,0.985,0.995,0.995,1.0,0.995,0.995,0.995,0.99,0.995,0.995,1.0,0.99,0.99,0.9934499999999998
10,0.995,0.97,0.975,0.975,0.985,0.97,0.965,0.985,0.95,0.975,0.975,0.995,0.975,0.945,0.975,0.955,0.995,0.965,0.99,0.975,0.985,0.985,0.955,0.98,0.955,0.98,0.99,0.975,0.985,0.985,0.99,0.97,0.985,0.955,0.99,0.995,0.95,0.98,0.97,0.98,0.99,0.98,0.955,0.97,0.99,0.975,0.965,0.965,1.0,0.975,0.985,0.975,0.985,0.99,0.96,0.975,0.98,0.99,0.99,0.955,1.0,0.985,0.985,0.97,0.96,0.995,0.945,0.99,0.97,0.985,0.965,0.99,0.96,0.975,0.99,0.985,0.98,0.985,0.955,0.99,0.955,0.985,0.985,0.965,0.95,0.96,1.0,0.985,0.985,1.0,0.985,0.98,0.99,0.985,0.945,0.99,0.98,0.98,1.0,0.965,0.9770999999999995
15,0.98,0.96,0.955,0.96,0.97,0.97,0.975,0.965,0.93,0.98,0.965,0.98,0.945,0.955,0.93,0.96,0.99,0.94,0.96,0.96,0.985,0.975,0.935,0.965,0.95,0.98,0.98,0.95,0.975,0.975,0.975,0.95,0.975,0.97,0.995,0.97,0.945,0.98,0.95,0.945,0.97,0.96,0.945,0.955,0.975,0.96,0.955,0.945,0.97,0.97,0.985,0.93,0.99,0.985,0.95,0.955,0.955,0.965,0.995,0.935,0.985,0.985,0.955,0.98,0.935,0.985,0.95,0.955,0.98,0.98,0.965,0.99,0.945,0.955,0.99,0.975,0.95,0.965,0.935,0.99,0.945,0.975,0.985,0.965,0.945,0.955,0.96,0.98,0.96,1.0,0.965,0.97,0.975,0.96,0.955,0.96,0.975,0.985,0.99,0.94,0.9649999999999993
20,0.94,0.945,0.945,0.92,0.99,0.955,0.975,0.94,0.915,0.965,0.97,0.98,0.95,0.94,0.925,0.95,0.96,0.93,0.975,0.96,0.965,0.965,0.935,0.96,0.94,0.96,0.96,0.945,0.96,0.94,0.965,0.955,0.965,0.945,0.96,0.965,0.935,0.945,0.935,0.935,0.975,0.975,0.93,0.94,0.965,0.955,0.955,0.945,0.975,0.96,0.97,0.925,0.975,0.985,0.93,0.95,0.955,0.94,0.985,0.935,0.995,0.955,0.93,0.95,0.91,0.985,0.93,0.96,0.97,0.965,0.945,0.985,0.93,0.96,0.97,0.94,0.925,0.955,0.925,0.975,0.94,0.965,0.965,0.955,0.945,0.93,0.965,0.94,0.945,0.955,0.975,0.97,0.935,0.945,0.93,0.94,0.97,0.96,0.985,0.94,0.9530499999999996
25,0.915,0.945,0.95,0.905,0.945,0.94,0.92,0.91,0.885,0.95,0.945,0.935,0.925,0.905,0.915,0.93,0.94,0.9,0.965,0.94,0.96,0.915,0.92,0.945,0.935,0.955,0.965,0.92,0.925,0.935,0.94,0.93,0.94,0.915,0.94,0.945,0.93,0.91,0.915,0.92,0.955,0.96,0.925,0.925,0.945,0.95,0.95,0.91,0.955,0.94,0.945,0.905,0.985,0.965,0.91,0.94,0.935,0.925,0.965,0.94,0.985,0.92,0.905,0.93,0.91,0.965,0.885,0.925,0.945,0.96,0.935,0.975,0.89,0.95,0.935,0.935,0.935,0.92,0.9,0.955,0.915,0.955,0.97,0.94,0.905,0.9,0.945,0.945,0.93,0.955,0.96,0.965,0.915,0.94,0.925,0.925,0.925,0.915,0.965,0.93,0.9344
30,0.9,0.89,0.915,0.865,0.935,0.925,0.905,0.875,0.865,0.915,0.93,0.98,0.905,0.9,0.9,0.93,0.93,0.885,0.93,0.9,0.91,0.93,0.905,0.925,0.92,0.895,0.92,0.905,0.9,0.88,0.93,0.9,0.895,0.91,0.935,0.94,0.895,0.9,0.92,0.89,0.94,0.94,0.845,0.935,0.93,0.945,0.945,0.91,0.93,0.875,0.96,0.85,0.97,0.95,0.83,0.885,0.91,0.89,0.97,0.925,0.96,0.915,0.89,0.915,0.87,0.935,0.88,0.92,0.895,0.935,0.89,0.92,0.875,0.92,0.9,0.945,0.905,0.92,0.89,0.93,0.9,0.915,0.97,0.935,0.895,0.885,0.935,0.935,0.91,0.93,0.92,0.915,0.89,0.89,0.92,0.91,0.905,0.89,0.935,0.905,0.9122000000000005
35,0.835,0.875,0.875,0.84,0.885,0.89,0.9,0.865,0.825,0.905,0.9,0.935,0.87,0.85,0.865,0.885,0.855,0.82,0.91,0.86,0.855,0.895,0.885,0.895,0.895,0.87,0.9,0.875,0.92,0.845,0.91,0.84,0.865,0.85,0.935,0.92,0.855,0.855,0.89,0.915,0.91,0.925,0.815,0.84,0.9,0.89,0.92,0.88,0.885,0.865,0.925,0.845,0.91,0.91,0.8,0.805,0.9,0.88,0.94,0.89,0.945,0.85,0.86,0.855,0.865,0.91,0.86,0.89,0.875,0.91,0.89,0.86,0.85,0.9,0.86,0.905,0.885,0.83,0.855,0.91,0.855,0.865,0.89,0.92,0.825,0.855,0.895,0.86,0.89,0.905,0.845,0.92,0.845,0.855,0.92,0.91,0.89,0.835,0.9,0.83,0.8782499999999999
40,0.8,0.845,0.83,0.755,0.795,0.865,0.865,0.83,0.775,0.84,0.855,0.86,0.795,0.79,0.84,0.84,0.75,0.78,0.87,0.79,0.78,0.815,0.825,0.84,0.815,0.79,0.85,0.82,0.85,0.75,0.865,0.785,0.79,0.81,0.875,0.865,0.815,0.81,0.835,0.85,0.885,0.89,0.765,0.815,0.84,0.82,0.84,0.815,0.855,0.805,0.87,0.785,0.845,0.85,0.75,0.8,0.85,0.805,0.905,0.85,0.875,0.785,0.82,0.805,0.81,0.82,0.785,0.835,0.8,0.83,0.84,0.81,0.81,0.855,0.775,0.845,0.795,0.755,0.815,0.885,0.83,0.845,0.805,0.905,0.78,0.81,0.825,0.8,0.81,0.85,0.825,0.855,0.805,0.805,0.875,0.82,0.8,0.815,0.84,0.805,0.8230000000000001
45,0.695,0.72,0.755,0.615,0.72,0.715,0.83,0.715,0.615,0.715,0.765,0.755,0.655,0.69,0.735,0.715,0.685,0.64,0.79,0.7,0.69,0.71,0.725,0.715,0.735,0.7,0.77,0.685,0.74,0.635,0.725,0.715,0.715,0.7,0.76,0.77,0.725,0.635,0.765,0.74,0.805,0.72,0.685,0.69,0.745,0.745,0.79,0.68,0.68,0.69,0.775,0.725,0.75,0.75,0.635,0.68,0.775,0.625,0.74,0.805,0.72,0.71,0.68,0.685,0.825,0.635,0.63,0.725,0.71,0.69,0.695,0.71,0.68,0.755,0.725,0.71,0.66,0.645,0.69,0.81,0.685,0.785,0.665,0.785,0.665,0.645,0.73,0.695,0.73,0.76,0.715,0.765,0.705,0.685,0.755,0.75,0.72,0.665,0.735,0.685,0.71485
