perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3799,0,198,3,0,69,3871,40,20,0,0,0,4000,0,0,1352,0,235,2413,0,0,0,0,0,4000,EAC_25NN
5,3778,0,222,0,0,80,3857,40,23,0,0,0,4000,0,0,1462,0,227,2311,0,0,0,0,0,4000,EAC_25NN
10,3771,0,229,0,0,92,3836,40,32,0,3,0,3997,0,0,1471,0,228,2301,0,0,6,0,0,3994,EAC_25NN
15,3759,0,241,0,0,101,3808,40,51,0,14,0,3986,0,0,1480,1,230,2289,0,0,111,0,0,3889,EAC_25NN
20,3736,0,264,0,0,113,3777,39,71,0,58,0,3942,0,0,1475,3,231,2291,0,0,263,0,0,3737,EAC_25NN
25,3695,0,305,0,0,140,3735,38,87,0,173,0,3827,0,0,1488,9,229,2274,0,0,387,0,0,3613,EAC_25NN
30,3564,0,435,1,0,182,3678,38,102,0,380,0,3620,0,0,1473,57,272,2198,0,0,501,0,0,3499,EAC_25NN
35,3211,0,789,0,0,268,3561,37,134,0,738,0,3262,0,0,1408,168,379,2045,0,0,634,0,0,3366,EAC_25NN
40,2761,0,1238,1,0,393,3401,31,175,0,1145,0,2855,0,0,1294,398,496,1812,0,0,793,0,0,3207,EAC_25NN
45,2118,0,1881,1,0,607,3125,40,228,0,1644,0,2356,0,0,1167,743,648,1442,0,2,1072,0,0,2926,EAC_25NN
50,1498,1,2501,0,0,984,2668,45,303,0,2279,0,1721,0,0,980,1221,829,970,0,15,1413,0,0,2572,EAC_25NN
55,995,0,3005,0,0,1405,2111,50,434,0,2794,0,1206,0,0,797,1625,997,581,0,27,1841,0,0,2132,EAC_25NN
60,644,0,3356,0,0,1852,1516,51,581,0,3239,0,761,0,0,628,1969,1125,278,0,43,2368,0,0,1589,EAC_25NN
65,384,2,3614,0,0,2259,956,53,732,0,3617,0,383,0,0,495,2178,1211,116,0,54,2883,0,0,1063,EAC_25NN
70,276,2,3722,0,0,2543,554,55,848,0,3842,0,158,0,0,386,2272,1291,51,0,63,3295,0,0,642,EAC_25NN
75,233,1,3766,0,0,2740,297,62,901,0,3948,0,52,0,0,319,2336,1331,14,0,83,3570,0,0,347,EAC_25NN
80,200,2,3798,0,0,2827,186,61,926,0,3994,0,6,0,0,292,2360,1347,1,0,116,3760,0,0,124,EAC_25NN
85,185,4,3811,0,0,2874,118,70,938,0,3998,0,2,0,0,272,2375,1353,0,0,128,3844,0,0,28,EAC_25NN
90,188,3,3809,0,0,2922,88,77,913,0,4000,0,0,0,0,259,2395,1346,0,0,144,3855,0,0,1,EAC_25NN
95,192,3,3805,0,0,2917,69,88,926,0,4000,0,0,0,0,255,2403,1342,0,0,146,3854,0,0,0,EAC_25NN
100,212,1,3787,0,0,2895,63,88,954,0,4000,0,0,0,0,254,2410,1336,0,0,151,3849,0,0,0,EAC_25NN
