perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.88,0.91,0.91,0.89,0.925,0.87,0.895,0.92,0.9,0.915,0.895,0.91,0.915,0.905,0.9,0.88,0.895,0.89,0.92,0.925,0.905,0.905,0.905,0.9,0.885,0.905,0.88,0.91,0.86,0.925,0.89,0.91,0.895,0.95,0.9,0.955,0.875,0.915,0.85,0.935,0.91,0.92,0.91,0.88,0.905,0.91,0.9,0.885,0.885,0.945,0.91,0.89,0.915,0.91,0.895,0.87,0.9,0.915,0.9,0.92,0.875,0.915,0.93,0.925,0.885,0.895,0.905,0.92,0.895,0.905,0.905,0.865,0.91,0.915,0.905,0.92,0.88,0.92,0.9,0.925,0.895,0.92,0.915,0.915,0.88,0.885,0.915,0.93,0.885,0.92,0.885,0.93,0.895,0.885,0.94,0.91,0.91,0.915,0.895,0.915,0.9041500000000003
5,0.875,0.885,0.9,0.88,0.925,0.855,0.905,0.915,0.895,0.915,0.9,0.91,0.91,0.895,0.89,0.875,0.9,0.885,0.91,0.925,0.895,0.905,0.9,0.905,0.89,0.89,0.875,0.9,0.855,0.92,0.885,0.9,0.88,0.94,0.895,0.955,0.865,0.9,0.855,0.935,0.905,0.915,0.89,0.87,0.895,0.905,0.895,0.875,0.87,0.94,0.905,0.89,0.91,0.9,0.895,0.87,0.885,0.91,0.9,0.915,0.85,0.91,0.915,0.9,0.89,0.9,0.895,0.92,0.89,0.885,0.885,0.87,0.9,0.91,0.9,0.915,0.855,0.915,0.89,0.92,0.895,0.92,0.91,0.905,0.875,0.885,0.9,0.92,0.87,0.91,0.875,0.93,0.89,0.885,0.905,0.9,0.9,0.91,0.89,0.905,0.8973000000000004
10,0.875,0.905,0.9,0.88,0.925,0.85,0.9,0.91,0.89,0.895,0.9,0.905,0.915,0.88,0.885,0.88,0.9,0.88,0.91,0.915,0.895,0.9,0.9,0.9,0.885,0.89,0.875,0.885,0.845,0.92,0.885,0.895,0.875,0.935,0.9,0.95,0.86,0.905,0.86,0.925,0.905,0.915,0.9,0.865,0.885,0.905,0.895,0.865,0.875,0.945,0.89,0.905,0.9,0.905,0.89,0.87,0.875,0.905,0.89,0.915,0.85,0.915,0.905,0.915,0.895,0.895,0.895,0.915,0.885,0.875,0.88,0.865,0.9,0.9,0.91,0.915,0.85,0.91,0.88,0.91,0.9,0.91,0.905,0.9,0.875,0.87,0.9,0.915,0.875,0.905,0.88,0.935,0.89,0.875,0.905,0.9,0.895,0.91,0.885,0.915,0.8949500000000005
15,0.865,0.89,0.895,0.85,0.93,0.85,0.91,0.905,0.885,0.89,0.905,0.895,0.9,0.885,0.87,0.875,0.9,0.87,0.915,0.91,0.88,0.895,0.9,0.88,0.89,0.9,0.88,0.88,0.86,0.91,0.875,0.885,0.875,0.905,0.88,0.95,0.86,0.895,0.855,0.92,0.9,0.9,0.855,0.865,0.875,0.895,0.88,0.85,0.86,0.935,0.87,0.885,0.9,0.9,0.855,0.865,0.88,0.89,0.885,0.885,0.86,0.91,0.92,0.895,0.885,0.885,0.89,0.905,0.89,0.87,0.86,0.84,0.865,0.89,0.875,0.915,0.845,0.91,0.845,0.9,0.895,0.915,0.905,0.9,0.85,0.84,0.88,0.91,0.875,0.905,0.88,0.935,0.87,0.88,0.9,0.875,0.895,0.905,0.89,0.895,0.8865499999999998
20,0.86,0.88,0.89,0.84,0.915,0.835,0.91,0.905,0.84,0.885,0.895,0.89,0.855,0.87,0.875,0.875,0.875,0.85,0.915,0.9,0.86,0.88,0.905,0.87,0.87,0.905,0.88,0.87,0.855,0.9,0.87,0.865,0.88,0.89,0.865,0.92,0.855,0.9,0.835,0.93,0.905,0.87,0.845,0.865,0.88,0.88,0.87,0.835,0.85,0.92,0.83,0.885,0.9,0.905,0.845,0.865,0.86,0.85,0.87,0.85,0.85,0.915,0.925,0.875,0.86,0.88,0.885,0.88,0.89,0.845,0.86,0.805,0.85,0.885,0.865,0.91,0.81,0.905,0.83,0.89,0.855,0.89,0.895,0.87,0.84,0.815,0.865,0.9,0.875,0.905,0.855,0.915,0.845,0.865,0.885,0.875,0.895,0.885,0.86,0.865,0.8741500000000001
25,0.85,0.85,0.86,0.83,0.91,0.805,0.885,0.895,0.81,0.85,0.885,0.88,0.85,0.845,0.86,0.85,0.83,0.85,0.905,0.865,0.855,0.865,0.885,0.87,0.85,0.9,0.875,0.875,0.855,0.9,0.865,0.85,0.87,0.875,0.84,0.885,0.86,0.875,0.815,0.895,0.87,0.825,0.83,0.81,0.86,0.86,0.865,0.82,0.81,0.905,0.815,0.835,0.895,0.87,0.82,0.845,0.86,0.855,0.87,0.83,0.84,0.905,0.895,0.84,0.815,0.875,0.855,0.87,0.895,0.835,0.86,0.805,0.82,0.855,0.84,0.9,0.8,0.89,0.815,0.89,0.845,0.88,0.885,0.88,0.81,0.805,0.88,0.855,0.84,0.89,0.83,0.89,0.835,0.83,0.88,0.86,0.885,0.87,0.84,0.855,0.8572000000000002
30,0.845,0.785,0.81,0.8,0.875,0.765,0.855,0.89,0.77,0.835,0.865,0.84,0.82,0.825,0.84,0.815,0.805,0.8,0.885,0.825,0.81,0.83,0.835,0.79,0.845,0.855,0.865,0.84,0.815,0.85,0.845,0.83,0.85,0.845,0.825,0.85,0.865,0.845,0.81,0.88,0.825,0.805,0.82,0.765,0.845,0.815,0.84,0.81,0.775,0.855,0.775,0.82,0.84,0.84,0.785,0.805,0.84,0.83,0.87,0.79,0.84,0.875,0.85,0.83,0.79,0.84,0.83,0.845,0.855,0.81,0.815,0.765,0.79,0.83,0.825,0.875,0.75,0.87,0.81,0.855,0.825,0.85,0.845,0.81,0.8,0.8,0.865,0.82,0.795,0.875,0.785,0.86,0.805,0.81,0.845,0.83,0.82,0.855,0.83,0.84,0.8279499999999999
35,0.77,0.72,0.78,0.765,0.85,0.71,0.84,0.825,0.735,0.795,0.785,0.78,0.755,0.765,0.775,0.765,0.725,0.755,0.825,0.755,0.755,0.82,0.765,0.745,0.795,0.805,0.82,0.77,0.77,0.78,0.825,0.765,0.77,0.76,0.775,0.805,0.825,0.77,0.74,0.82,0.76,0.755,0.77,0.725,0.825,0.755,0.76,0.755,0.71,0.815,0.735,0.75,0.79,0.815,0.71,0.73,0.8,0.76,0.81,0.72,0.8,0.795,0.78,0.8,0.725,0.725,0.755,0.785,0.795,0.765,0.725,0.74,0.73,0.705,0.765,0.805,0.695,0.815,0.78,0.84,0.76,0.795,0.78,0.73,0.765,0.77,0.805,0.765,0.74,0.85,0.71,0.805,0.735,0.76,0.795,0.785,0.795,0.82,0.705,0.825,0.7722500000000001
40,0.675,0.635,0.745,0.635,0.785,0.625,0.775,0.75,0.675,0.71,0.68,0.72,0.725,0.705,0.68,0.685,0.665,0.705,0.73,0.685,0.675,0.785,0.69,0.655,0.72,0.715,0.745,0.645,0.705,0.72,0.78,0.71,0.69,0.68,0.725,0.705,0.735,0.705,0.665,0.69,0.675,0.66,0.745,0.665,0.755,0.665,0.715,0.695,0.61,0.785,0.64,0.68,0.745,0.72,0.665,0.655,0.735,0.65,0.73,0.705,0.715,0.735,0.69,0.75,0.665,0.635,0.675,0.72,0.725,0.725,0.655,0.72,0.665,0.64,0.73,0.685,0.655,0.75,0.73,0.77,0.7,0.74,0.695,0.69,0.675,0.655,0.765,0.67,0.68,0.76,0.635,0.765,0.675,0.7,0.75,0.685,0.72,0.75,0.635,0.775,0.7018
45,0.57,0.53,0.64,0.565,0.63,0.52,0.635,0.59,0.58,0.615,0.585,0.59,0.6,0.595,0.565,0.6,0.575,0.62,0.62,0.58,0.585,0.655,0.555,0.545,0.625,0.62,0.66,0.505,0.635,0.615,0.7,0.605,0.545,0.58,0.655,0.575,0.6,0.56,0.575,0.575,0.58,0.575,0.605,0.57,0.66,0.575,0.59,0.605,0.54,0.68,0.555,0.63,0.595,0.615,0.61,0.54,0.65,0.565,0.57,0.585,0.605,0.61,0.555,0.66,0.55,0.55,0.53,0.605,0.6,0.63,0.58,0.635,0.63,0.595,0.645,0.585,0.56,0.595,0.67,0.69,0.6,0.65,0.63,0.58,0.575,0.555,0.71,0.555,0.585,0.635,0.54,0.705,0.565,0.6,0.575,0.56,0.645,0.655,0.555,0.61,0.5983499999999998
