perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.97,0.995,0.98,0.985,0.985,0.98,0.99,0.975,0.985,0.985,0.99,0.98,0.985,0.98,0.98,0.99,0.99,0.985,0.98,0.99,0.98,0.98,0.985,0.99,0.995,0.99,0.985,0.995,0.99,0.985,0.97,0.99,0.985,0.995,0.995,0.995,0.985,0.99,0.99,0.985,0.985,0.98,0.98,0.98,0.995,0.995,0.995,0.99,0.985,0.985,0.98,0.965,0.99,1.0,0.995,0.99,0.99,0.99,0.97,0.98,1.0,0.985,0.99,0.985,0.98,0.99,0.98,0.99,0.98,0.985,0.98,0.985,0.985,0.99,0.98,0.985,0.985,0.965,0.995,0.995,0.985,0.985,0.98,0.995,0.99,0.975,0.99,1.0,0.99,0.985,0.98,0.995,0.975,0.99,0.98,0.995,0.985,0.97,0.98,0.985,0.9857499999999998
5,0.96,0.96,0.965,0.975,0.99,0.965,0.98,0.96,0.935,0.965,0.97,0.98,0.97,0.975,0.955,0.98,0.98,0.965,0.965,0.97,0.955,0.97,0.99,0.975,0.97,0.975,0.97,0.965,0.99,0.96,0.99,0.94,0.965,0.97,0.985,0.99,0.96,0.955,0.975,0.975,0.98,0.955,0.97,0.975,0.98,0.97,0.985,0.945,0.97,0.97,0.935,0.965,0.985,0.98,0.975,0.96,0.975,0.98,0.95,0.985,0.99,0.965,0.96,0.96,0.95,0.97,0.955,0.99,0.985,0.96,0.95,0.98,0.975,0.965,0.965,0.97,0.95,0.96,0.985,0.97,0.97,0.96,0.94,0.96,0.94,0.975,0.97,0.96,0.965,0.97,0.955,0.935,0.97,0.975,0.96,0.975,0.97,0.955,0.955,0.97,0.9676499999999995
10,0.955,0.91,0.93,0.94,0.975,0.96,0.96,0.93,0.895,0.975,0.96,0.965,0.97,0.975,0.9,0.955,0.96,0.96,0.945,0.985,0.965,0.945,0.95,0.965,0.95,0.96,0.955,0.945,0.98,0.945,0.98,0.945,0.93,0.955,0.95,0.955,0.955,0.94,0.93,0.975,0.96,0.94,0.95,0.965,0.965,0.955,0.945,0.955,0.935,0.98,0.915,0.935,0.955,0.99,0.925,0.95,0.945,0.95,0.935,0.95,0.945,0.96,0.95,0.955,0.91,0.96,0.93,0.965,0.935,0.96,0.945,0.96,0.915,0.945,0.935,0.945,0.935,0.96,0.95,0.95,0.94,0.945,0.95,0.955,0.9,0.945,0.94,0.955,0.94,0.935,0.93,0.93,0.96,0.96,0.925,0.965,0.94,0.945,0.925,0.965,0.9483999999999998
15,0.915,0.89,0.915,0.925,0.95,0.915,0.935,0.92,0.86,0.93,0.95,0.965,0.93,0.945,0.89,0.92,0.935,0.925,0.895,0.98,0.94,0.94,0.92,0.94,0.915,0.93,0.935,0.89,0.96,0.915,0.97,0.915,0.905,0.93,0.975,0.95,0.92,0.925,0.91,0.92,0.92,0.945,0.925,0.935,0.935,0.95,0.92,0.95,0.91,0.95,0.92,0.92,0.95,0.98,0.93,0.945,0.94,0.925,0.925,0.945,0.93,0.945,0.925,0.95,0.895,0.92,0.89,0.945,0.915,0.925,0.92,0.965,0.91,0.925,0.935,0.935,0.91,0.93,0.93,0.94,0.93,0.945,0.94,0.925,0.88,0.915,0.91,0.935,0.915,0.91,0.9,0.91,0.93,0.93,0.925,0.965,0.9,0.91,0.895,0.95,0.9277500000000003
20,0.885,0.915,0.89,0.89,0.9,0.89,0.91,0.88,0.855,0.9,0.885,0.935,0.9,0.92,0.85,0.895,0.895,0.88,0.865,0.93,0.89,0.915,0.89,0.915,0.89,0.915,0.9,0.875,0.94,0.88,0.92,0.89,0.88,0.925,0.915,0.91,0.89,0.875,0.89,0.905,0.92,0.915,0.88,0.89,0.92,0.93,0.9,0.92,0.9,0.93,0.87,0.885,0.915,0.975,0.895,0.885,0.89,0.875,0.905,0.94,0.88,0.935,0.9,0.91,0.855,0.935,0.89,0.895,0.9,0.885,0.885,0.935,0.9,0.89,0.895,0.91,0.855,0.88,0.89,0.91,0.925,0.9,0.935,0.905,0.84,0.885,0.905,0.92,0.905,0.86,0.85,0.895,0.93,0.925,0.905,0.93,0.905,0.885,0.885,0.9,0.8994500000000002
25,0.845,0.89,0.87,0.86,0.89,0.855,0.895,0.865,0.82,0.89,0.865,0.88,0.86,0.9,0.83,0.88,0.855,0.855,0.835,0.915,0.845,0.88,0.85,0.87,0.86,0.87,0.875,0.85,0.905,0.825,0.895,0.87,0.845,0.875,0.88,0.875,0.865,0.85,0.85,0.91,0.875,0.915,0.835,0.835,0.88,0.895,0.87,0.9,0.87,0.895,0.825,0.85,0.88,0.94,0.815,0.845,0.86,0.87,0.88,0.915,0.86,0.905,0.86,0.885,0.86,0.89,0.86,0.895,0.875,0.855,0.835,0.9,0.88,0.875,0.865,0.88,0.87,0.865,0.845,0.88,0.91,0.85,0.885,0.87,0.81,0.845,0.86,0.88,0.86,0.835,0.855,0.86,0.89,0.885,0.895,0.875,0.87,0.86,0.86,0.9,0.86945
30,0.805,0.845,0.825,0.825,0.875,0.815,0.85,0.795,0.765,0.86,0.85,0.845,0.84,0.84,0.8,0.865,0.775,0.795,0.82,0.89,0.79,0.81,0.825,0.825,0.835,0.83,0.83,0.775,0.865,0.805,0.86,0.815,0.81,0.855,0.855,0.835,0.85,0.84,0.825,0.865,0.87,0.865,0.78,0.815,0.885,0.845,0.84,0.86,0.86,0.86,0.79,0.79,0.875,0.9,0.8,0.775,0.815,0.77,0.85,0.895,0.805,0.9,0.83,0.855,0.8,0.84,0.81,0.835,0.83,0.815,0.83,0.85,0.845,0.835,0.78,0.83,0.85,0.825,0.795,0.84,0.885,0.79,0.89,0.845,0.755,0.835,0.82,0.825,0.82,0.805,0.8,0.82,0.865,0.845,0.865,0.81,0.84,0.835,0.83,0.85,0.8314999999999997
35,0.74,0.81,0.78,0.765,0.855,0.79,0.81,0.725,0.725,0.81,0.755,0.81,0.765,0.83,0.76,0.835,0.735,0.77,0.765,0.825,0.765,0.79,0.78,0.79,0.755,0.805,0.83,0.72,0.77,0.745,0.8,0.75,0.74,0.75,0.785,0.79,0.835,0.79,0.8,0.82,0.795,0.8,0.71,0.79,0.805,0.775,0.795,0.77,0.82,0.825,0.775,0.74,0.81,0.83,0.73,0.76,0.75,0.715,0.785,0.845,0.75,0.84,0.8,0.8,0.76,0.785,0.805,0.8,0.77,0.78,0.77,0.83,0.845,0.81,0.74,0.775,0.77,0.805,0.765,0.785,0.865,0.77,0.86,0.775,0.695,0.775,0.745,0.785,0.77,0.75,0.72,0.765,0.82,0.785,0.84,0.795,0.785,0.765,0.745,0.805,0.78295
40,0.705,0.76,0.745,0.715,0.785,0.735,0.75,0.705,0.71,0.76,0.735,0.745,0.74,0.795,0.71,0.78,0.69,0.71,0.75,0.76,0.705,0.745,0.75,0.745,0.715,0.765,0.775,0.685,0.715,0.695,0.77,0.71,0.64,0.7,0.71,0.765,0.755,0.725,0.76,0.735,0.77,0.71,0.655,0.74,0.77,0.785,0.745,0.7,0.765,0.755,0.695,0.685,0.745,0.79,0.705,0.7,0.72,0.635,0.755,0.78,0.69,0.75,0.73,0.735,0.71,0.73,0.735,0.71,0.74,0.7,0.725,0.785,0.81,0.765,0.645,0.72,0.73,0.705,0.73,0.75,0.795,0.725,0.785,0.7,0.685,0.7,0.68,0.69,0.7,0.69,0.695,0.695,0.735,0.74,0.79,0.73,0.735,0.69,0.7,0.74,0.7294999999999999
45,0.66,0.7,0.66,0.665,0.69,0.69,0.735,0.58,0.65,0.675,0.66,0.66,0.65,0.72,0.685,0.725,0.635,0.685,0.69,0.695,0.665,0.65,0.66,0.7,0.635,0.71,0.705,0.6,0.64,0.62,0.68,0.585,0.6,0.655,0.64,0.71,0.685,0.615,0.705,0.675,0.675,0.63,0.585,0.665,0.715,0.695,0.695,0.66,0.695,0.61,0.64,0.65,0.66,0.685,0.605,0.635,0.67,0.615,0.715,0.695,0.625,0.695,0.64,0.67,0.675,0.625,0.69,0.63,0.71,0.59,0.66,0.685,0.775,0.705,0.555,0.645,0.635,0.635,0.635,0.69,0.705,0.655,0.695,0.685,0.615,0.665,0.62,0.605,0.655,0.675,0.59,0.62,0.655,0.68,0.735,0.675,0.665,0.64,0.62,0.7,0.6616500000000001
