perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_0_5,cm_0_6,cm_0_7,cm_0_8,cm_0_9,cm_0_10,cm_0_11,cm_0_12,cm_0_13,cm_0_14,cm_0_15,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_1_8,cm_1_9,cm_1_10,cm_1_11,cm_1_12,cm_1_13,cm_1_14,cm_1_15,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_2_8,cm_2_9,cm_2_10,cm_2_11,cm_2_12,cm_2_13,cm_2_14,cm_2_15,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_3_8,cm_3_9,cm_3_10,cm_3_11,cm_3_12,cm_3_13,cm_3_14,cm_3_15,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_4_8,cm_4_9,cm_4_10,cm_4_11,cm_4_12,cm_4_13,cm_4_14,cm_4_15,cm_5_0,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_5_8,cm_5_9,cm_5_10,cm_5_11,cm_5_12,cm_5_13,cm_5_14,cm_5_15,cm_6_0,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_6_8,cm_6_9,cm_6_10,cm_6_11,cm_6_12,cm_6_13,cm_6_14,cm_6_15,cm_7_0,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,cm_7_8,cm_7_9,cm_7_10,cm_7_11,cm_7_12,cm_7_13,cm_7_14,cm_7_15,cm_8_0,cm_8_1,cm_8_2,cm_8_3,cm_8_4,cm_8_5,cm_8_6,cm_8_7,cm_8_8,cm_8_9,cm_8_10,cm_8_11,cm_8_12,cm_8_13,cm_8_14,cm_8_15,cm_9_0,cm_9_1,cm_9_2,cm_9_3,cm_9_4,cm_9_5,cm_9_6,cm_9_7,cm_9_8,cm_9_9,cm_9_10,cm_9_11,cm_9_12,cm_9_13,cm_9_14,cm_9_15,cm_10_0,cm_10_1,cm_10_2,cm_10_3,cm_10_4,cm_10_5,cm_10_6,cm_10_7,cm_10_8,cm_10_9,cm_10_10,cm_10_11,cm_10_12,cm_10_13,cm_10_14,cm_10_15,cm_11_0,cm_11_1,cm_11_2,cm_11_3,cm_11_4,cm_11_5,cm_11_6,cm_11_7,cm_11_8,cm_11_9,cm_11_10,cm_11_11,cm_11_12,cm_11_13,cm_11_14,cm_11_15,cm_12_0,cm_12_1,cm_12_2,cm_12_3,cm_12_4,cm_12_5,cm_12_6,cm_12_7,cm_12_8,cm_12_9,cm_12_10,cm_12_11,cm_12_12,cm_12_13,cm_12_14,cm_12_15,cm_13_0,cm_13_1,cm_13_2,cm_13_3,cm_13_4,cm_13_5,cm_13_6,cm_13_7,cm_13_8,cm_13_9,cm_13_10,cm_13_11,cm_13_12,cm_13_13,cm_13_14,cm_13_15,cm_14_0,cm_14_1,cm_14_2,cm_14_3,cm_14_4,cm_14_5,cm_14_6,cm_14_7,cm_14_8,cm_14_9,cm_14_10,cm_14_11,cm_14_12,cm_14_13,cm_14_14,cm_14_15,cm_15_0,cm_15_1,cm_15_2,cm_15_3,cm_15_4,cm_15_5,cm_15_6,cm_15_7,cm_15_8,cm_15_9,cm_15_10,cm_15_11,cm_15_12,cm_15_13,cm_15_14,cm_15_15,classifier
0,1940,0,0,0,0,0,0,0,0,19,0,0,0,0,0,41,0,1980,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,1960,0,0,0,15,0,1,3,0,13,0,0,0,8,0,0,0,1982,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,1947,0,0,0,0,7,35,0,0,0,0,11,0,0,0,0,0,1971,0,0,0,5,0,0,0,0,0,24,0,0,0,0,10,0,1880,0,0,13,17,61,0,0,0,19,0,0,0,0,0,0,0,1992,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1960,8,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,1951,0,0,0,0,0,48,0,0,0,0,18,0,0,0,0,2,1976,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1981,0,0,0,15,0,0,0,0,0,0,0,0,0,17,0,0,1949,0,0,34,0,0,0,0,1,0,0,0,0,3,0,15,5,1939,0,37,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1978,15,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1962,ACM_SVM
5,1931,2,0,2,0,0,4,0,0,30,0,0,0,2,3,26,0,1973,0,17,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1955,0,16,0,3,0,13,6,0,2,0,0,0,5,0,16,0,1968,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,1,1960,0,0,0,0,12,22,0,0,0,0,5,0,0,0,0,0,1970,0,0,0,14,0,0,1,0,0,15,0,0,0,2,165,0,1805,0,0,15,0,0,0,0,0,13,0,0,0,25,0,0,0,1961,0,13,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1959,16,0,0,0,0,0,22,0,4,0,1,0,0,0,0,0,1939,0,0,17,0,0,39,0,0,0,0,21,0,0,0,0,6,1971,0,1,0,0,1,0,0,0,0,71,0,0,0,0,16,0,1907,0,0,0,6,0,1,0,1,0,0,0,0,0,30,0,0,1952,0,0,16,0,1,0,0,21,0,0,0,0,23,0,1,8,1933,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1980,11,0,2,1,5,0,0,0,0,0,45,0,0,0,0,0,1947,ACM_SVM
10,1859,5,0,4,0,0,16,0,0,26,0,0,1,8,57,24,0,1961,0,31,0,0,0,0,0,5,0,0,1,0,0,2,0,2,1949,0,28,0,0,0,13,6,0,0,0,0,0,2,0,44,0,1942,0,0,0,0,0,6,0,0,1,0,0,7,0,2,0,2,1955,0,0,0,0,9,27,0,0,0,0,5,0,2,1,0,0,1967,0,0,0,17,0,0,6,0,0,7,0,3,8,2,201,0,1761,0,0,16,0,0,0,0,0,9,0,1,0,38,0,0,0,1939,0,21,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1959,19,0,0,1,0,0,18,0,7,0,4,0,2,0,0,0,1929,0,0,28,0,0,30,0,0,0,0,116,0,0,0,1,5,1876,0,1,0,0,1,0,0,0,0,194,0,0,0,0,14,0,1786,0,0,0,6,0,7,0,2,0,16,0,0,0,32,0,0,1932,0,0,11,0,2,0,0,58,0,0,0,0,18,0,0,12,1897,0,13,67,0,0,0,0,0,0,0,0,11,0,0,1,65,1846,10,0,9,6,8,84,0,0,0,0,45,0,2,2,0,0,1844,ACM_SVM
15,1707,4,0,13,0,0,56,0,0,19,0,0,6,16,161,18,0,1947,0,48,0,0,0,0,0,4,0,0,0,0,0,1,0,2,1945,0,33,0,0,0,13,4,0,0,1,0,0,2,0,56,0,1934,0,0,0,0,0,4,0,0,2,0,0,4,0,2,1,3,1957,0,0,0,0,5,25,0,3,0,0,4,0,1,2,3,0,1928,0,0,0,18,0,0,46,0,0,2,0,3,51,7,195,0,1724,0,0,14,0,0,2,0,0,4,0,12,0,59,0,0,0,1902,0,22,0,0,5,0,0,0,0,0,6,5,0,0,0,0,1955,17,0,0,7,0,0,10,0,8,0,11,0,13,0,0,0,1905,0,0,46,0,0,17,0,0,0,0,300,0,0,0,1,5,1692,0,2,0,0,0,0,0,0,1,278,0,0,0,0,9,0,1708,1,0,0,3,0,2,0,6,0,90,0,0,0,53,0,0,1844,0,0,5,0,2,0,4,132,0,0,0,0,14,0,0,14,1828,0,6,127,0,0,4,0,0,1,3,0,9,0,0,3,99,1749,5,0,4,18,19,169,0,0,0,1,52,0,4,10,0,0,1723,ACM_SVM
20,1596,7,0,21,0,0,106,0,0,20,0,0,9,20,218,3,0,1930,0,68,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1938,0,37,0,0,0,15,6,0,0,2,0,0,0,0,72,0,1920,0,0,0,0,0,3,0,0,3,0,0,2,0,4,0,5,1965,0,0,0,0,6,19,0,1,0,0,0,0,1,1,4,0,1840,0,0,0,43,0,0,111,0,0,0,0,4,205,8,195,0,1571,0,0,11,0,0,5,0,0,1,0,35,0,93,0,0,0,1841,0,27,1,0,3,0,0,0,0,1,22,12,0,0,0,0,1941,8,0,0,11,0,0,5,0,10,0,18,0,38,0,1,0,1827,0,0,103,0,0,3,0,0,0,0,329,0,0,0,0,5,1663,0,2,1,0,0,0,0,0,5,374,0,0,0,0,6,0,1614,1,0,0,0,0,6,0,9,0,154,0,0,0,95,0,0,1735,0,0,1,0,4,0,4,315,0,0,0,0,14,0,0,21,1642,0,0,156,0,0,6,0,0,1,7,0,8,0,0,5,122,1694,1,0,9,43,34,216,0,0,0,1,44,0,13,14,0,0,1626,ACM_SVM
25,1483,10,0,22,0,0,162,0,0,12,0,0,11,19,276,5,0,1896,0,102,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1927,0,39,0,0,0,24,6,0,0,2,0,0,0,0,101,0,1894,0,0,0,0,0,2,0,0,2,0,0,1,0,4,0,4,1967,0,0,0,0,5,15,0,3,0,0,2,0,1,5,7,0,1714,0,0,0,128,0,0,145,0,0,0,0,4,358,8,195,0,1413,0,1,7,0,0,8,4,0,2,0,80,0,160,0,0,0,1724,0,33,0,0,3,0,0,0,0,3,147,13,0,0,0,0,1815,6,0,0,12,0,0,4,0,16,0,28,0,61,0,2,0,1728,0,0,159,0,0,6,0,0,1,0,444,0,0,0,0,4,1548,0,1,1,0,1,0,0,0,5,574,0,0,0,0,3,0,1416,1,0,0,1,0,5,0,11,0,186,0,0,0,134,0,0,1662,0,0,2,0,5,1,5,473,0,0,0,0,9,0,0,22,1483,0,2,190,0,0,10,0,0,3,7,0,2,0,0,7,145,1635,1,0,11,82,41,231,0,1,0,1,28,0,82,21,0,0,1502,ACM_SVM
30,1368,13,0,29,0,0,196,0,0,7,0,0,9,23,353,2,0,1831,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1867,0,39,0,0,0,85,6,0,0,0,0,0,0,0,210,0,1785,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,8,1969,0,0,0,0,2,11,1,3,0,0,2,0,2,7,8,1,1614,0,0,0,198,0,0,170,0,0,0,0,6,384,11,196,0,1366,0,1,2,0,0,9,23,0,2,0,129,0,225,0,0,0,1599,0,44,0,0,3,0,0,0,0,5,417,18,0,0,0,0,1544,2,0,0,11,0,0,3,0,31,0,46,0,108,0,2,0,1586,0,0,226,0,0,1,0,0,0,1,628,0,0,0,0,4,1364,0,2,1,0,0,0,0,0,6,678,0,0,0,1,2,0,1309,2,0,0,2,0,5,0,18,0,240,0,0,0,176,0,0,1559,0,0,2,0,5,1,6,629,0,0,0,0,9,0,0,21,1326,0,3,285,0,0,11,0,0,3,10,0,1,0,0,7,188,1494,1,0,13,130,48,232,0,1,0,1,21,0,249,20,0,0,1285,ACM_SVM
35,1255,13,0,36,0,0,231,0,0,4,0,0,7,29,425,0,0,1731,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1605,4,56,0,0,0,331,1,0,0,0,0,0,0,0,424,0,1571,0,0,0,0,0,2,0,0,2,0,0,1,0,5,0,9,1915,0,0,0,0,1,63,3,3,0,0,1,0,3,6,8,1,1470,0,0,0,300,0,0,212,0,0,0,0,6,391,13,197,0,1304,0,2,6,0,0,6,75,0,0,0,206,0,303,0,0,0,1431,0,57,0,0,3,0,0,0,0,4,632,22,0,0,0,0,1330,1,0,0,9,0,0,2,0,43,0,58,0,164,0,2,0,1435,0,0,297,0,0,1,0,0,0,2,776,0,0,0,0,2,1215,0,2,1,0,2,0,0,1,6,769,0,0,0,2,4,0,1214,3,1,0,0,0,7,0,22,0,273,0,0,0,243,0,0,1454,0,0,1,0,5,0,8,778,0,1,0,0,8,0,2,19,1178,0,1,397,1,0,11,0,0,6,14,0,1,0,0,6,242,1321,1,0,18,209,55,226,0,0,0,2,10,0,323,20,0,2,1135,ACM_SVM
40,1139,13,0,37,0,0,265,0,0,5,0,0,4,29,507,1,0,1489,0,510,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1315,4,80,0,0,0,596,0,0,0,1,0,0,2,0,658,0,1339,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0,10,1710,0,0,0,0,1,255,16,2,0,0,1,0,2,7,15,1,1326,0,0,0,396,0,0,251,0,0,2,0,6,399,15,198,0,1205,0,4,2,0,0,3,164,0,4,0,296,0,347,0,0,0,1285,0,67,0,0,5,0,0,0,0,9,742,23,0,0,0,0,1221,0,0,0,4,0,0,1,0,43,0,78,0,215,0,11,0,1281,0,0,371,0,0,1,0,0,2,0,807,0,0,0,0,2,1183,0,3,1,0,2,0,2,0,7,878,0,0,0,4,0,0,1105,2,2,0,0,0,5,0,28,0,302,0,0,0,346,0,0,1317,0,0,2,0,3,2,12,934,0,1,0,1,5,0,7,13,1019,0,3,470,2,0,14,0,0,6,23,0,1,0,0,3,281,1200,0,0,22,284,68,213,0,0,0,3,3,0,348,14,0,0,1045,ACM_SVM
45,1031,12,0,46,0,0,314,0,0,0,0,0,1,30,565,1,0,1079,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1122,2,88,0,0,0,785,0,0,0,0,0,0,2,0,907,0,1091,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,8,1572,0,0,0,1,0,330,81,2,0,0,0,0,2,9,17,1,1166,0,0,0,505,0,1,297,0,0,2,0,6,411,21,201,0,1167,0,5,0,0,0,2,183,0,4,0,399,0,383,0,0,0,1139,0,74,0,0,5,0,0,0,0,6,829,25,0,0,0,0,1135,0,0,0,4,0,0,1,0,59,0,110,0,254,0,14,0,1121,0,0,441,0,0,1,0,0,0,4,911,0,0,0,0,0,1080,2,0,1,0,2,0,3,0,2,961,0,0,0,4,0,4,1022,2,2,0,0,0,7,0,35,0,332,0,4,0,472,0,0,1149,0,0,1,0,8,2,13,1042,0,0,0,1,2,0,9,12,911,0,0,528,4,0,15,0,0,7,29,0,0,0,0,1,299,1117,0,0,23,359,79,200,0,0,0,3,0,0,340,6,0,0,990,ACM_SVM
