perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_0_5,cm_0_6,cm_0_7,cm_0_8,cm_0_9,cm_0_10,cm_0_11,cm_0_12,cm_0_13,cm_0_14,cm_0_15,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_1_8,cm_1_9,cm_1_10,cm_1_11,cm_1_12,cm_1_13,cm_1_14,cm_1_15,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_2_8,cm_2_9,cm_2_10,cm_2_11,cm_2_12,cm_2_13,cm_2_14,cm_2_15,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_3_8,cm_3_9,cm_3_10,cm_3_11,cm_3_12,cm_3_13,cm_3_14,cm_3_15,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_4_8,cm_4_9,cm_4_10,cm_4_11,cm_4_12,cm_4_13,cm_4_14,cm_4_15,cm_5_0,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_5_8,cm_5_9,cm_5_10,cm_5_11,cm_5_12,cm_5_13,cm_5_14,cm_5_15,cm_6_0,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_6_8,cm_6_9,cm_6_10,cm_6_11,cm_6_12,cm_6_13,cm_6_14,cm_6_15,cm_7_0,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,cm_7_8,cm_7_9,cm_7_10,cm_7_11,cm_7_12,cm_7_13,cm_7_14,cm_7_15,cm_8_0,cm_8_1,cm_8_2,cm_8_3,cm_8_4,cm_8_5,cm_8_6,cm_8_7,cm_8_8,cm_8_9,cm_8_10,cm_8_11,cm_8_12,cm_8_13,cm_8_14,cm_8_15,cm_9_0,cm_9_1,cm_9_2,cm_9_3,cm_9_4,cm_9_5,cm_9_6,cm_9_7,cm_9_8,cm_9_9,cm_9_10,cm_9_11,cm_9_12,cm_9_13,cm_9_14,cm_9_15,cm_10_0,cm_10_1,cm_10_2,cm_10_3,cm_10_4,cm_10_5,cm_10_6,cm_10_7,cm_10_8,cm_10_9,cm_10_10,cm_10_11,cm_10_12,cm_10_13,cm_10_14,cm_10_15,cm_11_0,cm_11_1,cm_11_2,cm_11_3,cm_11_4,cm_11_5,cm_11_6,cm_11_7,cm_11_8,cm_11_9,cm_11_10,cm_11_11,cm_11_12,cm_11_13,cm_11_14,cm_11_15,cm_12_0,cm_12_1,cm_12_2,cm_12_3,cm_12_4,cm_12_5,cm_12_6,cm_12_7,cm_12_8,cm_12_9,cm_12_10,cm_12_11,cm_12_12,cm_12_13,cm_12_14,cm_12_15,cm_13_0,cm_13_1,cm_13_2,cm_13_3,cm_13_4,cm_13_5,cm_13_6,cm_13_7,cm_13_8,cm_13_9,cm_13_10,cm_13_11,cm_13_12,cm_13_13,cm_13_14,cm_13_15,cm_14_0,cm_14_1,cm_14_2,cm_14_3,cm_14_4,cm_14_5,cm_14_6,cm_14_7,cm_14_8,cm_14_9,cm_14_10,cm_14_11,cm_14_12,cm_14_13,cm_14_14,cm_14_15,cm_15_0,cm_15_1,cm_15_2,cm_15_3,cm_15_4,cm_15_5,cm_15_6,cm_15_7,cm_15_8,cm_15_9,cm_15_10,cm_15_11,cm_15_12,cm_15_13,cm_15_14,cm_15_15,classifier
0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,1986,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,CASIM
5,1985,0,1,0,0,0,6,0,0,0,0,0,0,1,7,0,0,1993,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1988,2,0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,3,4,0,66,0,1923,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1991,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,1987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1995,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1994,CASIM
10,1961,0,1,0,0,0,13,0,0,0,0,0,0,4,21,0,0,1976,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,1,0,0,4,0,64,2,1,0,0,0,0,0,0,0,0,1987,0,0,0,13,0,0,0,0,0,0,0,4,13,0,190,0,1788,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1994,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1978,0,0,0,0,0,0,0,0,5,0,3,0,11,0,0,0,1974,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1996,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,1975,0,0,0,11,0,11,0,0,2,0,0,0,3,0,0,0,1973,CASIM
15,1860,0,3,0,0,0,37,0,0,0,0,0,0,14,86,0,0,1915,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0,239,0,0,0,0,0,0,0,0,2,0,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0,0,7,0,269,7,0,0,0,0,0,0,0,0,0,1976,0,0,0,21,0,0,3,0,0,0,0,4,14,0,204,0,1770,0,1,0,0,6,0,1,0,0,0,7,0,12,0,0,0,1969,0,11,0,0,1,0,0,0,0,0,49,0,0,0,0,0,1951,0,0,0,0,0,0,0,0,7,0,5,0,72,0,0,0,1871,0,0,45,0,0,0,0,0,0,0,31,0,0,0,0,0,1969,0,0,0,0,0,0,0,1,0,84,0,0,0,0,0,0,1915,0,0,0,0,0,0,0,0,0,31,0,0,0,26,0,0,1943,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1953,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,58,1903,0,0,0,40,0,36,0,0,1,0,0,0,22,0,3,0,1898,CASIM
20,1720,0,4,0,0,0,72,0,1,0,0,0,0,23,180,0,0,1813,7,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0,363,0,0,0,0,0,0,0,0,41,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1552,0,0,0,4,0,432,9,1,0,0,0,0,0,3,0,0,1925,0,0,0,55,0,0,17,0,0,0,0,7,39,0,197,0,1750,0,0,0,0,7,0,0,0,0,0,21,0,38,0,0,0,1928,0,12,0,0,1,0,0,0,0,0,94,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,2,0,6,0,141,0,0,0,1720,0,0,131,0,0,0,0,0,0,0,242,0,0,0,0,0,1758,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,1894,0,0,0,0,0,0,0,0,2,76,0,0,0,51,0,0,1871,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,1783,0,0,114,0,0,0,0,0,1,1,0,0,0,1,1,105,1777,0,0,0,82,0,73,0,0,3,1,0,0,68,0,2,0,1771,CASIM
25,1589,0,2,0,0,0,126,0,0,0,0,0,0,22,261,0,0,1660,9,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,0,0,0,0,0,469,0,0,0,0,0,0,0,0,109,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1497,0,0,0,1,0,480,16,0,0,0,1,0,0,4,0,0,1848,0,0,0,97,2,0,49,0,0,0,0,8,116,0,200,0,1662,0,1,0,0,10,0,3,0,0,0,48,0,65,0,0,0,1865,0,21,0,0,1,0,0,0,0,0,176,0,0,0,0,0,1824,0,0,0,0,0,0,0,0,7,0,14,0,199,0,0,0,1557,0,0,223,0,0,0,0,0,0,0,429,0,0,0,0,0,1571,0,0,0,0,0,0,0,2,0,144,0,0,0,0,0,0,1854,0,0,0,0,0,0,0,1,0,115,0,0,0,102,0,0,1782,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,1615,0,0,167,0,0,0,0,0,0,2,0,0,0,0,0,162,1669,0,0,1,147,0,133,1,0,1,1,0,0,180,0,1,0,1535,CASIM
30,1462,0,3,0,0,0,173,0,0,0,0,0,0,28,334,0,0,1409,9,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,508,0,0,0,0,0,0,0,0,216,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1432,0,0,0,1,0,525,33,0,0,0,0,0,0,7,0,0,1758,0,0,0,144,0,0,91,0,0,0,0,6,272,0,202,0,1509,0,2,0,0,5,0,4,0,0,0,89,0,115,0,0,0,1767,0,27,0,0,2,0,0,0,0,0,342,0,0,0,0,0,1658,0,0,0,0,0,0,0,0,10,0,16,0,236,0,0,0,1473,0,0,265,0,0,0,0,0,0,0,599,0,0,0,0,0,1400,0,0,1,0,0,0,0,1,0,344,0,0,0,0,0,0,1653,0,2,0,0,0,1,0,0,8,146,0,0,0,155,0,0,1690,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,1435,0,0,216,0,0,0,0,0,2,4,0,0,0,0,1,225,1551,1,0,1,203,0,159,1,0,1,1,0,0,310,0,4,0,1320,CASIM
35,1341,0,2,0,0,0,203,0,0,0,0,0,0,27,427,0,0,1249,5,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,2,0,0,0,606,0,0,0,0,0,0,0,0,345,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1343,0,0,0,1,1,593,56,1,0,0,0,0,0,11,0,1,1651,0,0,0,207,0,0,130,0,0,0,0,4,362,0,211,0,1390,0,0,0,0,4,0,29,0,0,0,172,0,180,0,0,0,1615,0,31,0,0,2,0,0,0,0,0,486,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,17,0,17,0,240,0,2,0,1416,0,0,308,0,0,0,0,0,0,0,724,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,665,1,0,0,0,0,0,1334,0,0,0,0,0,0,0,0,5,198,0,0,0,219,0,0,1578,0,0,0,0,0,0,0,769,0,0,0,3,0,0,1,0,1227,0,0,303,0,0,0,0,0,4,8,0,0,0,0,0,264,1420,1,0,1,248,0,173,2,0,2,3,0,0,369,1,5,0,1196,CASIM
40,1243,0,0,0,1,0,243,0,0,0,0,0,0,33,480,0,0,1097,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,2,0,0,0,761,0,0,0,0,0,0,0,0,497,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1218,0,0,0,3,0,658,107,2,2,2,0,0,0,10,0,2,1496,0,0,0,321,1,1,169,0,0,0,0,3,377,0,215,0,1300,0,1,0,0,4,0,100,0,0,0,264,0,246,0,0,0,1437,0,45,0,0,8,0,0,0,0,0,596,0,0,0,0,0,1404,0,0,0,0,0,0,0,0,22,0,22,0,245,0,5,0,1356,0,0,350,0,0,0,0,0,0,0,842,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,1170,0,0,0,0,0,1,0,0,1,230,0,2,0,311,0,0,1455,0,0,0,0,0,0,0,923,0,0,0,0,0,0,6,0,1071,0,0,404,0,0,0,0,0,3,16,0,0,0,0,1,281,1295,0,0,1,318,0,192,3,0,3,3,1,0,367,2,7,0,1103,CASIM
45,1147,0,0,0,0,0,272,0,0,0,0,0,0,35,546,0,0,992,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0,2,0,0,0,832,0,0,1,0,0,0,0,0,742,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,1129,0,1,0,2,2,698,147,0,7,0,0,0,0,13,0,1,1338,0,0,0,423,1,3,221,0,0,0,0,2,396,0,216,0,1233,0,1,0,0,4,0,148,0,0,0,374,0,298,0,0,0,1263,0,57,0,0,8,0,0,0,0,0,777,0,0,0,0,0,1223,0,0,0,0,0,0,0,0,40,0,22,0,256,0,11,0,1293,0,0,378,0,0,0,0,0,0,0,906,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,939,2,0,0,0,0,0,1059,0,0,0,0,0,1,0,0,0,270,0,6,0,410,0,0,1313,0,0,0,0,0,0,0,989,0,0,0,2,0,0,15,0,994,0,0,521,0,0,0,0,0,4,22,0,0,0,0,1,305,1147,0,0,2,391,1,192,0,0,0,3,0,0,368,4,10,0,1029,CASIM
