perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_0_5,cm_0_6,cm_0_7,cm_0_8,cm_0_9,cm_0_10,cm_0_11,cm_0_12,cm_0_13,cm_0_14,cm_0_15,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_1_8,cm_1_9,cm_1_10,cm_1_11,cm_1_12,cm_1_13,cm_1_14,cm_1_15,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_2_8,cm_2_9,cm_2_10,cm_2_11,cm_2_12,cm_2_13,cm_2_14,cm_2_15,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_3_8,cm_3_9,cm_3_10,cm_3_11,cm_3_12,cm_3_13,cm_3_14,cm_3_15,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_4_8,cm_4_9,cm_4_10,cm_4_11,cm_4_12,cm_4_13,cm_4_14,cm_4_15,cm_5_0,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_5_8,cm_5_9,cm_5_10,cm_5_11,cm_5_12,cm_5_13,cm_5_14,cm_5_15,cm_6_0,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_6_8,cm_6_9,cm_6_10,cm_6_11,cm_6_12,cm_6_13,cm_6_14,cm_6_15,cm_7_0,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,cm_7_8,cm_7_9,cm_7_10,cm_7_11,cm_7_12,cm_7_13,cm_7_14,cm_7_15,cm_8_0,cm_8_1,cm_8_2,cm_8_3,cm_8_4,cm_8_5,cm_8_6,cm_8_7,cm_8_8,cm_8_9,cm_8_10,cm_8_11,cm_8_12,cm_8_13,cm_8_14,cm_8_15,cm_9_0,cm_9_1,cm_9_2,cm_9_3,cm_9_4,cm_9_5,cm_9_6,cm_9_7,cm_9_8,cm_9_9,cm_9_10,cm_9_11,cm_9_12,cm_9_13,cm_9_14,cm_9_15,cm_10_0,cm_10_1,cm_10_2,cm_10_3,cm_10_4,cm_10_5,cm_10_6,cm_10_7,cm_10_8,cm_10_9,cm_10_10,cm_10_11,cm_10_12,cm_10_13,cm_10_14,cm_10_15,cm_11_0,cm_11_1,cm_11_2,cm_11_3,cm_11_4,cm_11_5,cm_11_6,cm_11_7,cm_11_8,cm_11_9,cm_11_10,cm_11_11,cm_11_12,cm_11_13,cm_11_14,cm_11_15,cm_12_0,cm_12_1,cm_12_2,cm_12_3,cm_12_4,cm_12_5,cm_12_6,cm_12_7,cm_12_8,cm_12_9,cm_12_10,cm_12_11,cm_12_12,cm_12_13,cm_12_14,cm_12_15,cm_13_0,cm_13_1,cm_13_2,cm_13_3,cm_13_4,cm_13_5,cm_13_6,cm_13_7,cm_13_8,cm_13_9,cm_13_10,cm_13_11,cm_13_12,cm_13_13,cm_13_14,cm_13_15,cm_14_0,cm_14_1,cm_14_2,cm_14_3,cm_14_4,cm_14_5,cm_14_6,cm_14_7,cm_14_8,cm_14_9,cm_14_10,cm_14_11,cm_14_12,cm_14_13,cm_14_14,cm_14_15,cm_15_0,cm_15_1,cm_15_2,cm_15_3,cm_15_4,cm_15_5,cm_15_6,cm_15_7,cm_15_8,cm_15_9,cm_15_10,cm_15_11,cm_15_12,cm_15_13,cm_15_14,cm_15_15,classifier
0,1976,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1913,0,66,0,0,9,2,0,6,0,0,0,0,0,4,0,0,1859,0,4,29,0,20,43,20,0,0,0,25,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,681,0,1,1,1043,41,0,0,3,5,0,200,0,24,0,1,40,0,24,1,52,1839,0,0,4,3,0,9,25,2,1,0,0,0,2,0,15,0,1964,0,0,0,0,0,0,17,2,0,0,20,0,0,0,0,0,1980,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1881,0,0,0,0,0,2,111,0,40,0,0,0,0,9,0,0,1774,0,0,168,0,0,9,0,0,0,0,24,0,0,0,0,0,1965,0,11,0,0,0,20,0,1,0,16,17,0,0,11,12,0,1913,0,10,0,0,0,0,0,0,0,50,0,0,0,3,0,0,1947,0,0,0,4,0,7,0,0,0,5,6,0,3,0,34,0,1914,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,7,0,0,0,0,0,0,13,1,0,0,0,0,0,1979,MBW_LR
5,1948,0,18,0,0,0,8,0,0,0,0,0,0,2,24,0,0,1870,0,119,0,0,5,0,0,6,0,0,0,0,0,0,7,0,1650,0,8,15,2,11,266,7,0,0,0,24,10,0,0,17,0,1983,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,3,1211,28,0,0,10,1,10,37,1,16,0,3,40,0,25,1,31,1839,0,0,5,2,0,11,46,0,0,0,0,0,1,0,58,0,1926,0,0,0,0,0,0,14,1,0,0,15,0,1,0,0,0,1980,0,1,0,0,3,0,0,0,0,0,27,0,37,0,0,0,1853,0,0,0,0,0,0,83,0,38,0,11,0,15,1,0,0,1775,0,0,152,0,0,8,0,0,0,0,18,0,0,0,0,0,1973,0,9,0,0,0,20,0,1,0,165,15,1,0,14,8,0,1772,1,3,0,0,0,0,0,0,0,79,0,0,0,18,0,0,1903,0,0,0,6,0,3,0,65,1,4,0,3,2,0,9,0,1894,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1993,0,0,2,1,0,6,0,3,0,70,2,0,3,0,2,0,1911,MBW_LR
10,1877,0,7,0,0,0,35,0,0,0,0,0,0,15,66,0,0,1797,0,194,0,0,0,0,0,8,0,0,0,0,0,1,7,0,1559,3,10,17,13,7,345,5,0,0,0,21,13,0,0,21,0,1979,0,0,0,0,0,0,0,0,0,0,0,0,680,2,0,6,1214,13,0,0,6,1,15,47,0,11,0,5,40,1,26,0,31,1813,0,0,5,8,0,10,66,0,0,0,0,0,23,0,82,0,1884,0,0,0,0,0,0,9,2,0,0,16,1,7,0,0,0,1965,0,6,0,0,5,0,0,0,0,0,31,0,49,0,2,0,1847,0,0,1,0,0,0,70,0,30,0,25,0,61,0,0,0,1733,0,0,145,0,0,6,1,0,0,0,49,0,0,0,0,0,1945,0,5,0,0,0,20,0,0,3,219,12,1,1,12,5,0,1721,1,3,0,2,0,0,0,0,0,87,0,0,0,37,0,0,1876,0,0,0,9,0,4,0,118,1,1,0,2,0,0,11,0,1837,13,4,8,0,0,0,0,0,0,2,0,0,0,0,0,24,1966,0,0,5,10,0,69,0,2,0,101,1,0,4,0,2,0,1806,MBW_LR
15,1809,0,3,0,0,0,58,0,0,0,0,0,0,17,113,0,0,1726,0,266,0,0,0,0,0,5,0,0,0,0,0,3,9,0,1480,0,5,15,18,3,421,4,0,0,0,22,23,0,0,41,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,680,1,3,11,1229,9,1,0,11,1,18,29,0,6,0,1,40,3,27,3,26,1764,0,0,4,38,4,13,75,0,3,0,0,0,58,0,124,0,1807,0,4,0,0,0,1,6,0,0,0,18,0,18,0,0,0,1950,0,10,0,0,4,0,0,0,0,0,42,0,55,0,1,0,1840,1,0,1,0,0,0,60,0,26,0,29,0,101,0,0,0,1694,0,0,150,0,0,0,0,0,0,0,302,0,0,0,1,0,1697,0,0,0,0,0,20,0,3,8,278,11,3,0,9,4,0,1658,1,5,0,0,0,0,0,0,0,98,0,0,0,60,0,0,1842,0,0,0,10,0,0,0,185,1,0,0,2,0,0,13,0,1775,12,2,31,0,0,0,0,0,0,4,0,0,0,0,0,45,1920,0,0,1,24,0,131,0,2,0,87,4,0,10,0,5,0,1736,MBW_LR
20,1697,0,7,0,0,0,99,0,0,0,0,0,0,16,181,0,0,1658,0,337,0,0,0,0,0,1,0,0,0,0,0,4,7,0,1412,0,3,15,23,0,489,2,0,0,0,24,25,0,0,61,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,680,4,5,10,1227,7,2,0,10,0,16,25,0,9,0,5,40,2,23,1,25,1659,0,0,7,115,4,16,102,0,6,0,0,0,85,0,157,0,1750,0,3,0,0,0,1,4,0,0,0,34,0,25,0,0,0,1927,0,8,0,0,5,0,1,0,0,0,43,0,53,0,0,0,1838,1,0,4,0,0,0,61,0,28,0,29,0,153,0,0,0,1595,0,0,195,0,0,0,0,0,1,0,371,0,0,0,0,0,1628,0,0,0,0,0,20,0,3,4,303,12,4,0,9,0,0,1628,3,9,0,5,0,0,0,0,0,135,0,0,0,101,0,0,1764,0,0,0,7,0,4,0,283,1,0,0,5,0,0,12,0,1671,16,1,58,0,0,0,0,0,0,4,0,0,0,0,0,64,1874,0,0,1,47,0,183,0,4,0,60,6,0,29,0,13,0,1657,MBW_LR
25,1568,0,4,0,0,0,165,0,1,0,0,0,0,27,235,0,0,1562,0,433,0,0,0,0,0,2,0,0,0,0,0,3,5,1,1321,1,1,12,17,0,585,7,0,1,0,23,26,0,0,106,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,680,2,6,11,1222,8,1,0,9,1,25,20,0,11,2,2,40,2,26,1,30,1536,0,0,8,192,4,11,141,0,9,0,0,0,112,0,170,0,1705,0,4,0,0,0,0,9,0,0,0,46,0,39,0,0,0,1895,0,12,0,0,7,0,1,0,0,0,56,0,51,0,1,0,1825,1,0,11,0,0,0,55,0,22,0,32,0,192,0,3,0,1492,1,0,258,0,0,0,0,0,1,0,482,0,0,0,0,0,1517,0,0,0,0,0,20,0,2,1,330,11,6,1,5,4,0,1605,3,9,0,3,0,0,0,0,0,188,0,0,0,143,0,0,1669,0,0,0,5,0,5,0,414,0,0,0,5,0,0,5,0,1550,15,1,81,0,0,0,0,0,0,5,0,0,0,0,0,105,1809,0,0,1,99,0,203,0,2,2,27,4,0,100,0,5,0,1557,MBW_LR
30,1449,0,6,0,0,0,209,0,0,0,0,0,0,33,303,0,0,1422,0,575,0,0,0,0,0,2,0,0,0,0,0,1,7,1,1195,3,0,10,19,0,719,3,0,1,0,15,25,2,0,138,0,1861,0,0,0,0,0,0,0,0,0,0,0,1,680,3,8,10,1190,7,1,0,13,0,58,8,0,14,5,3,40,2,25,1,35,1403,0,3,10,290,11,8,161,1,10,0,0,0,147,0,176,0,1660,0,1,0,0,0,1,15,0,0,0,70,0,83,0,0,0,1820,0,20,0,0,5,0,2,0,0,0,97,0,48,0,1,0,1777,1,0,46,0,0,3,27,0,25,0,30,0,221,0,4,0,1416,1,0,303,0,0,0,0,0,1,0,673,0,0,0,0,0,1326,0,0,0,0,0,20,0,2,2,443,9,5,1,2,2,0,1498,1,12,0,3,0,0,0,0,0,244,0,0,0,229,0,0,1527,0,0,0,6,0,10,0,545,1,0,0,5,0,1,13,0,1402,16,1,143,0,0,0,0,0,0,8,0,0,0,0,3,155,1691,0,0,1,204,0,165,0,4,2,17,8,0,250,2,8,0,1339,MBW_LR
35,1318,0,5,0,0,0,254,0,3,0,0,0,0,36,384,0,0,1286,0,708,0,0,0,0,0,1,0,0,0,0,0,5,6,3,1120,5,1,6,18,0,797,7,0,1,0,12,22,2,0,185,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,681,2,8,11,1127,8,2,0,15,1,116,13,0,5,5,6,42,7,22,1,39,1283,0,2,10,375,11,4,194,2,8,0,0,0,186,0,193,0,1590,0,0,0,1,0,0,30,0,0,0,113,0,125,0,0,0,1732,0,24,0,0,5,0,1,0,0,0,250,0,44,0,1,0,1644,0,0,56,0,0,1,4,0,29,0,36,0,256,0,10,0,1316,3,0,350,0,0,0,0,0,1,0,807,0,0,0,0,0,1192,0,0,0,0,0,20,0,3,2,520,10,2,1,3,3,0,1421,2,8,0,5,0,0,0,0,0,292,0,0,0,320,0,0,1388,0,0,0,4,0,17,0,693,2,0,0,10,0,1,10,0,1242,21,0,235,0,0,0,0,0,1,16,0,0,0,0,3,218,1527,0,0,2,351,0,117,3,7,5,11,6,0,302,2,11,0,1183,MBW_LR
40,1234,0,3,0,0,0,271,0,3,0,0,0,0,38,451,0,0,1192,0,802,0,0,0,0,0,1,0,0,0,0,0,5,2,7,1066,4,0,6,19,0,854,4,0,2,0,17,18,1,0,221,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,680,1,14,10,1015,5,3,1,16,0,189,49,0,7,8,2,41,9,19,2,37,1193,0,2,7,436,10,4,225,2,13,0,0,0,235,0,193,0,1510,0,3,0,0,0,1,58,0,0,0,168,0,200,0,0,0,1589,0,35,0,0,6,0,2,0,0,0,656,0,44,0,2,0,1241,0,0,54,0,1,2,0,0,25,0,41,0,284,0,13,0,1246,3,0,388,0,0,0,0,0,1,0,908,0,0,0,0,0,1089,0,2,0,0,0,20,0,11,1,555,10,4,0,3,4,3,1369,1,14,0,5,0,0,0,0,0,324,0,1,0,400,0,0,1275,0,0,0,3,0,19,0,779,2,2,0,12,1,0,19,0,1143,18,2,366,0,0,0,0,0,8,20,0,0,0,0,6,271,1329,0,0,2,466,0,92,1,7,5,10,6,0,287,3,17,0,1104,MBW_LR
45,1116,0,2,0,0,0,305,0,4,0,0,0,0,42,531,0,0,1155,0,835,0,0,0,0,0,1,0,0,0,0,0,9,2,11,1022,6,0,4,15,0,901,5,0,2,0,16,15,1,0,334,0,1664,0,0,0,0,0,0,0,0,0,0,0,2,681,2,10,12,802,8,3,0,16,0,337,113,0,5,9,2,44,6,13,3,34,1061,0,2,19,526,8,3,266,2,12,1,0,0,285,0,183,0,1437,0,6,0,0,0,0,87,0,2,0,247,0,273,0,0,0,1423,0,48,0,0,6,0,3,0,0,0,1113,0,41,0,1,0,782,0,0,55,0,8,0,0,0,33,0,46,0,288,0,15,0,1193,3,0,422,0,0,0,0,0,1,0,1008,0,0,0,0,0,989,0,2,0,0,0,21,0,8,2,613,13,3,0,5,2,4,1311,1,12,0,5,0,0,0,1,0,351,0,4,0,469,0,0,1175,0,0,0,5,0,19,0,878,2,4,0,13,2,1,25,0,1033,17,1,490,0,0,0,0,0,10,26,0,0,0,0,8,314,1152,0,0,2,536,0,84,3,9,6,7,6,0,276,5,23,0,1043,MBW_LR
