perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.790625,0.80625,0.81875,0.809375,0.80625,0.825,0.75625,0.796875,0.796875,0.825,0.84375,0.78125,0.79375,0.81875,0.775,0.828125,0.8,0.778125,0.809375,0.78125,0.803125,0.796875,0.8,0.828125,0.803125,0.78125,0.79375,0.79375,0.796875,0.80625,0.815625,0.784375,0.815625,0.790625,0.821875,0.79375,0.821875,0.840625,0.81875,0.7625,0.821875,0.8125,0.79375,0.784375,0.821875,0.759375,0.765625,0.81875,0.8,0.85,0.815625,0.79375,0.778125,0.796875,0.815625,0.81875,0.834375,0.784375,0.809375,0.78125,0.790625,0.79375,0.815625,0.775,0.771875,0.8,0.78125,0.825,0.803125,0.840625,0.825,0.725,0.821875,0.80625,0.80625,0.79375,0.825,0.825,0.803125,0.79375,0.80625,0.778125,0.8,0.78125,0.840625,0.828125,0.8125,0.8125,0.740625,0.825,0.825,0.825,0.803125,0.821875,0.7875,0.8125,0.825,0.790625,0.784375,0.828125,0.8031562500000002
5,0.81875,0.828125,0.85,0.815625,0.825,0.834375,0.79375,0.834375,0.83125,0.840625,0.865625,0.803125,0.815625,0.840625,0.81875,0.85625,0.840625,0.821875,0.821875,0.79375,0.8125,0.84375,0.81875,0.853125,0.825,0.828125,0.83125,0.84375,0.821875,0.828125,0.83125,0.815625,0.81875,0.821875,0.840625,0.8125,0.840625,0.871875,0.834375,0.796875,0.859375,0.828125,0.828125,0.8125,0.85,0.775,0.8,0.84375,0.775,0.86875,0.83125,0.815625,0.809375,0.825,0.853125,0.871875,0.85,0.790625,0.85625,0.7875,0.81875,0.846875,0.80625,0.78125,0.79375,0.84375,0.8125,0.834375,0.8125,0.85,0.84375,0.79375,0.840625,0.828125,0.821875,0.81875,0.846875,0.86875,0.840625,0.840625,0.834375,0.83125,0.83125,0.796875,0.865625,0.840625,0.846875,0.809375,0.784375,0.84375,0.84375,0.853125,0.834375,0.85625,0.8125,0.825,0.853125,0.803125,0.80625,0.8625,0.8284999999999999
10,0.85,0.834375,0.859375,0.809375,0.834375,0.815625,0.765625,0.85,0.834375,0.840625,0.871875,0.825,0.834375,0.81875,0.846875,0.875,0.859375,0.81875,0.81875,0.834375,0.840625,0.865625,0.81875,0.85625,0.821875,0.840625,0.86875,0.846875,0.83125,0.859375,0.81875,0.85625,0.84375,0.834375,0.840625,0.80625,0.840625,0.875,0.8625,0.815625,0.86875,0.84375,0.8375,0.821875,0.871875,0.803125,0.815625,0.871875,0.7875,0.878125,0.875,0.828125,0.834375,0.83125,0.871875,0.85,0.846875,0.790625,0.85625,0.7875,0.84375,0.865625,0.78125,0.790625,0.8,0.83125,0.796875,0.84375,0.834375,0.871875,0.846875,0.803125,0.840625,0.828125,0.825,0.8625,0.871875,0.85,0.83125,0.865625,0.878125,0.834375,0.8375,0.796875,0.878125,0.85625,0.8625,0.828125,0.784375,0.85625,0.828125,0.871875,0.840625,0.85,0.8125,0.85,0.878125,0.8375,0.80625,0.88125,0.8386562499999997
15,0.85,0.85,0.853125,0.809375,0.846875,0.84375,0.775,0.85625,0.8625,0.81875,0.8625,0.834375,0.8375,0.81875,0.8625,0.871875,0.88125,0.809375,0.815625,0.8625,0.853125,0.8625,0.796875,0.840625,0.859375,0.840625,0.871875,0.878125,0.853125,0.859375,0.825,0.84375,0.83125,0.86875,0.840625,0.83125,0.840625,0.890625,0.85,0.815625,0.875,0.821875,0.8375,0.809375,0.86875,0.78125,0.840625,0.878125,0.83125,0.871875,0.859375,0.81875,0.83125,0.84375,0.878125,0.85,0.85625,0.79375,0.878125,0.7875,0.8625,0.871875,0.796875,0.78125,0.81875,0.85625,0.8125,0.859375,0.825,0.89375,0.834375,0.79375,0.84375,0.8375,0.825,0.81875,0.871875,0.84375,0.815625,0.884375,0.871875,0.865625,0.85,0.840625,0.8875,0.86875,0.85,0.83125,0.80625,0.85,0.825,0.86875,0.865625,0.871875,0.8125,0.85,0.884375,0.8375,0.828125,0.878125,0.8437812500000001
20,0.825,0.8375,0.84375,0.809375,0.85625,0.859375,0.8,0.8375,0.840625,0.81875,0.875,0.80625,0.88125,0.825,0.840625,0.884375,0.853125,0.790625,0.828125,0.859375,0.878125,0.8625,0.81875,0.853125,0.828125,0.846875,0.89375,0.85,0.84375,0.859375,0.840625,0.865625,0.84375,0.846875,0.84375,0.840625,0.84375,0.884375,0.821875,0.853125,0.875,0.846875,0.809375,0.821875,0.86875,0.79375,0.840625,0.8625,0.83125,0.875,0.865625,0.825,0.84375,0.8875,0.8875,0.875,0.859375,0.815625,0.871875,0.778125,0.840625,0.875,0.775,0.775,0.840625,0.85625,0.840625,0.8625,0.821875,0.89375,0.821875,0.79375,0.8625,0.834375,0.840625,0.840625,0.865625,0.853125,0.85,0.884375,0.865625,0.890625,0.853125,0.834375,0.9,0.853125,0.846875,0.825,0.79375,0.86875,0.84375,0.871875,0.85625,0.8625,0.840625,0.846875,0.890625,0.85,0.8,0.878125,0.8462500000000003
25,0.821875,0.81875,0.840625,0.803125,0.809375,0.85,0.765625,0.85,0.83125,0.815625,0.86875,0.796875,0.859375,0.825,0.815625,0.8875,0.884375,0.7875,0.840625,0.86875,0.86875,0.85625,0.790625,0.84375,0.846875,0.85,0.86875,0.85625,0.828125,0.8625,0.846875,0.859375,0.828125,0.884375,0.8375,0.84375,0.828125,0.85625,0.853125,0.83125,0.853125,0.825,0.80625,0.825,0.871875,0.803125,0.853125,0.86875,0.85625,0.890625,0.890625,0.796875,0.853125,0.86875,0.859375,0.846875,0.85625,0.81875,0.865625,0.771875,0.846875,0.865625,0.784375,0.771875,0.840625,0.859375,0.8625,0.834375,0.828125,0.884375,0.815625,0.80625,0.8625,0.825,0.84375,0.828125,0.846875,0.86875,0.825,0.871875,0.875,0.890625,0.8375,0.821875,0.871875,0.815625,0.84375,0.78125,0.790625,0.8625,0.8375,0.8625,0.85625,0.821875,0.85,0.85625,0.890625,0.834375,0.809375,0.8625,0.8410625000000002
30,0.80625,0.815625,0.84375,0.796875,0.825,0.84375,0.740625,0.815625,0.81875,0.809375,0.834375,0.8125,0.865625,0.834375,0.809375,0.86875,0.85,0.775,0.846875,0.85,0.85625,0.834375,0.821875,0.840625,0.840625,0.840625,0.840625,0.825,0.83125,0.85,0.821875,0.828125,0.821875,0.86875,0.825,0.81875,0.84375,0.846875,0.846875,0.771875,0.84375,0.7875,0.80625,0.803125,0.8375,0.7875,0.83125,0.859375,0.84375,0.89375,0.86875,0.778125,0.815625,0.84375,0.85,0.8375,0.875,0.81875,0.846875,0.778125,0.821875,0.8625,0.796875,0.775,0.828125,0.871875,0.85625,0.809375,0.81875,0.8875,0.79375,0.8125,0.853125,0.80625,0.825,0.8375,0.815625,0.8625,0.790625,0.871875,0.8625,0.85625,0.84375,0.80625,0.875,0.8,0.859375,0.784375,0.790625,0.859375,0.85,0.853125,0.8375,0.83125,0.821875,0.825,0.878125,0.846875,0.815625,0.825,0.8306250000000002
35,0.775,0.815625,0.81875,0.775,0.796875,0.796875,0.753125,0.859375,0.79375,0.771875,0.809375,0.81875,0.84375,0.8125,0.79375,0.8125,0.85,0.771875,0.8,0.834375,0.8625,0.825,0.80625,0.81875,0.8,0.828125,0.8375,0.81875,0.7625,0.834375,0.8375,0.784375,0.8,0.840625,0.790625,0.775,0.821875,0.809375,0.803125,0.784375,0.803125,0.78125,0.79375,0.790625,0.815625,0.8125,0.8125,0.834375,0.821875,0.8625,0.840625,0.778125,0.7875,0.809375,0.828125,0.80625,0.803125,0.778125,0.80625,0.75,0.784375,0.846875,0.76875,0.771875,0.81875,0.8625,0.8375,0.775,0.78125,0.840625,0.796875,0.784375,0.85,0.778125,0.815625,0.79375,0.79375,0.85625,0.790625,0.83125,0.803125,0.825,0.8375,0.80625,0.834375,0.784375,0.815625,0.803125,0.8,0.83125,0.834375,0.825,0.8375,0.81875,0.84375,0.80625,0.83125,0.78125,0.8125,0.80625,0.80975
40,0.75625,0.778125,0.8,0.75,0.78125,0.75625,0.71875,0.825,0.790625,0.759375,0.765625,0.771875,0.80625,0.8125,0.790625,0.753125,0.81875,0.740625,0.759375,0.80625,0.840625,0.796875,0.7625,0.825,0.790625,0.809375,0.79375,0.803125,0.78125,0.76875,0.80625,0.771875,0.76875,0.765625,0.746875,0.76875,0.778125,0.790625,0.753125,0.765625,0.771875,0.803125,0.775,0.790625,0.8,0.771875,0.809375,0.825,0.775,0.853125,0.76875,0.76875,0.790625,0.759375,0.8,0.771875,0.803125,0.74375,0.753125,0.75,0.74375,0.8125,0.740625,0.775,0.803125,0.8,0.784375,0.740625,0.71875,0.7875,0.778125,0.79375,0.796875,0.74375,0.8375,0.746875,0.775,0.81875,0.771875,0.8375,0.796875,0.7375,0.840625,0.784375,0.784375,0.7875,0.765625,0.765625,0.7625,0.8125,0.76875,0.746875,0.796875,0.80625,0.809375,0.775,0.771875,0.771875,0.825,0.74375,0.78171875
45,0.653125,0.7375,0.765625,0.715625,0.73125,0.740625,0.69375,0.784375,0.728125,0.715625,0.690625,0.70625,0.746875,0.775,0.75625,0.7,0.7875,0.71875,0.75,0.7625,0.775,0.70625,0.734375,0.778125,0.75625,0.790625,0.71875,0.796875,0.69375,0.76875,0.771875,0.73125,0.715625,0.684375,0.696875,0.759375,0.71875,0.715625,0.68125,0.70625,0.75,0.75625,0.784375,0.759375,0.79375,0.728125,0.765625,0.8,0.709375,0.821875,0.684375,0.728125,0.734375,0.70625,0.771875,0.73125,0.728125,0.721875,0.7,0.7125,0.703125,0.796875,0.678125,0.734375,0.7625,0.703125,0.7375,0.69375,0.64375,0.790625,0.74375,0.78125,0.721875,0.7,0.784375,0.6625,0.728125,0.75625,0.6875,0.784375,0.7375,0.7375,0.784375,0.696875,0.728125,0.753125,0.74375,0.759375,0.665625,0.759375,0.725,0.7125,0.796875,0.74375,0.778125,0.65,0.7,0.696875,0.775,0.7,0.7348437500000002
