perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3998,0,1,1,0,0,3999,0,1,0,31,0,3969,0,0,0,0,0,4000,0,0,0,0,0,4000,CASIM
5,3964,0,36,0,0,0,3998,0,2,0,37,0,3963,0,0,2,32,0,3966,0,0,22,0,0,3978,CASIM
10,3930,0,69,1,0,11,3969,0,17,3,57,0,3943,0,0,4,77,0,3919,0,0,219,0,0,3781,CASIM
15,3909,5,85,1,0,14,3957,0,26,3,75,0,3925,0,0,2,117,0,3881,0,0,372,0,0,3628,CASIM
20,3884,5,102,9,0,34,3920,0,41,5,118,0,3882,0,0,2,126,0,3872,0,1,496,0,0,3503,CASIM
25,3753,8,229,10,0,118,3780,0,91,11,130,0,3870,0,0,4,141,0,3855,0,0,570,0,0,3430,CASIM
30,3606,18,367,9,0,144,3758,0,89,9,170,0,3830,0,0,5,213,0,3782,0,0,732,0,0,3268,CASIM
35,3465,21,506,8,0,162,3713,0,116,9,307,1,3692,0,0,5,342,0,3653,0,0,958,0,0,3042,CASIM
40,3025,31,939,5,0,275,3537,0,176,12,397,8,3595,0,0,4,510,0,3486,0,0,1183,0,0,2817,CASIM
45,2032,44,1921,3,0,589,3102,0,297,12,657,22,3321,0,0,8,810,0,3182,0,1,1339,0,0,2660,CASIM
50,1154,40,2805,1,0,674,2906,0,408,12,1217,30,2753,0,0,12,1183,0,2805,0,2,1535,0,0,2463,CASIM
55,890,31,3079,0,0,609,2818,0,559,14,2315,24,1661,0,0,12,1720,0,2268,0,3,1671,0,0,2326,CASIM
60,619,25,3356,0,0,557,2632,0,798,13,3035,15,950,0,0,25,2363,0,1611,1,4,1971,0,1,2024,CASIM
65,494,15,3491,0,0,568,2350,0,1068,14,3477,5,518,0,0,34,2685,0,1281,0,15,2199,0,0,1786,CASIM
70,330,14,3656,0,0,850,1883,0,1253,14,3603,5,392,0,0,46,3087,0,867,0,25,2693,0,0,1282,CASIM
75,277,13,3710,0,0,1342,1303,0,1336,19,3861,5,134,0,0,47,3622,0,331,0,37,3355,0,0,608,CASIM
80,423,12,3565,0,0,1727,837,0,1413,23,3978,5,17,0,0,56,3803,0,141,0,64,3625,0,1,310,CASIM
85,170,4,3826,0,0,2055,513,0,1410,22,3982,3,15,0,0,48,3867,0,85,0,95,3774,0,1,130,CASIM
90,98,5,3897,0,0,2252,345,1,1379,23,3982,3,15,0,0,40,3918,0,42,0,106,3832,0,2,60,CASIM
95,63,2,3935,0,0,2309,171,1,1503,16,3975,0,25,0,0,41,3926,1,32,0,123,3867,0,1,9,CASIM
100,68,3,3929,0,0,2361,65,1,1562,11,3968,0,32,0,0,25,3939,2,34,0,118,3878,0,4,0,CASIM
