perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3737,0,263,0,0,85,3837,57,20,1,0,0,4000,0,0,1956,0,332,1712,0,0,0,0,0,4000,EAC_50NN
5,3725,0,275,0,0,99,3821,56,23,1,0,0,4000,0,0,1975,0,347,1678,0,0,0,0,0,4000,EAC_50NN
10,3724,0,276,0,0,109,3803,57,31,0,1,0,3999,0,0,1987,0,354,1659,0,0,0,0,0,4000,EAC_50NN
15,3719,0,281,0,0,130,3774,55,40,1,1,0,3999,0,0,2009,0,354,1637,0,0,0,0,0,4000,EAC_50NN
20,3715,0,285,0,0,149,3747,54,49,1,10,0,3990,0,0,2028,0,348,1624,0,0,29,0,0,3971,EAC_50NN
25,3718,0,282,0,0,177,3712,50,60,1,16,0,3984,0,0,2037,0,349,1614,0,0,137,0,0,3863,EAC_50NN
30,3708,0,292,0,0,218,3654,49,79,0,92,0,3908,0,0,2019,5,364,1612,0,0,258,0,0,3742,EAC_50NN
35,3559,0,441,0,0,266,3593,42,99,0,441,0,3559,0,0,1960,41,454,1545,0,0,410,0,0,3590,EAC_50NN
40,3040,0,960,0,0,328,3510,33,129,0,1097,0,2903,0,0,1781,152,659,1408,0,0,599,0,0,3401,EAC_50NN
45,2174,0,1826,0,0,441,3355,27,177,0,1858,0,2142,0,0,1517,393,973,1117,0,0,838,0,0,3162,EAC_50NN
50,1208,0,2792,0,0,710,3027,32,231,0,2625,0,1375,0,0,1175,773,1325,727,0,8,1216,0,0,2776,EAC_50NN
55,614,0,3386,0,0,1137,2493,43,327,0,3203,0,797,0,0,845,1177,1635,343,0,27,1816,0,0,2157,EAC_50NN
60,390,0,3610,0,0,1666,1787,50,497,0,3663,0,337,0,0,604,1446,1837,113,0,47,2467,0,0,1486,EAC_50NN
65,309,0,3691,0,0,2180,1088,68,664,0,3910,0,90,0,0,489,1570,1915,26,0,60,3132,0,0,808,EAC_50NN
70,263,0,3737,0,0,2529,586,75,810,0,3987,0,13,0,0,422,1602,1968,8,0,64,3627,0,0,309,EAC_50NN
75,259,0,3741,0,0,2722,323,91,864,0,3997,0,3,0,0,393,1626,1981,0,0,83,3852,0,0,65,EAC_50NN
80,266,0,3734,0,0,2815,226,97,862,0,4000,0,0,0,0,368,1666,1966,0,0,96,3893,0,0,11,EAC_50NN
85,267,0,3733,0,0,2853,171,115,861,0,4000,0,0,0,0,360,1669,1971,0,0,108,3892,0,0,0,EAC_50NN
90,274,0,3726,0,0,2918,140,119,823,0,4000,0,0,0,0,358,1675,1967,0,0,120,3880,0,0,0,EAC_50NN
95,282,0,3718,0,0,2895,129,126,850,0,4000,0,0,0,0,355,1694,1951,0,0,128,3872,0,0,0,EAC_50NN
100,284,0,3716,0,0,2894,99,138,869,0,4000,0,0,0,0,359,1706,1935,0,0,135,3865,0,0,0,EAC_50NN
