perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.85,0.85,0.895,0.85,0.89,0.84,0.87,0.89,0.875,0.87,0.875,0.87,0.86,0.875,0.835,0.845,0.855,0.855,0.875,0.895,0.875,0.89,0.85,0.855,0.845,0.865,0.87,0.835,0.83,0.89,0.875,0.85,0.85,0.875,0.86,0.92,0.825,0.875,0.82,0.885,0.865,0.885,0.865,0.845,0.875,0.89,0.855,0.85,0.825,0.895,0.875,0.855,0.865,0.855,0.865,0.845,0.855,0.885,0.86,0.875,0.81,0.88,0.89,0.885,0.855,0.88,0.865,0.88,0.87,0.83,0.875,0.84,0.86,0.89,0.865,0.865,0.825,0.87,0.88,0.9,0.865,0.875,0.87,0.855,0.85,0.84,0.88,0.87,0.82,0.885,0.85,0.895,0.865,0.845,0.88,0.845,0.87,0.89,0.835,0.885,0.8643
5,0.85,0.845,0.895,0.835,0.895,0.825,0.865,0.89,0.87,0.87,0.87,0.865,0.87,0.865,0.835,0.84,0.85,0.855,0.875,0.895,0.87,0.89,0.85,0.855,0.84,0.865,0.865,0.83,0.835,0.89,0.88,0.845,0.85,0.875,0.855,0.92,0.82,0.865,0.82,0.89,0.855,0.875,0.86,0.845,0.875,0.885,0.85,0.855,0.825,0.89,0.865,0.845,0.865,0.845,0.86,0.84,0.855,0.885,0.855,0.875,0.815,0.88,0.89,0.885,0.86,0.865,0.86,0.885,0.87,0.825,0.865,0.835,0.855,0.89,0.865,0.855,0.83,0.865,0.875,0.89,0.865,0.87,0.87,0.85,0.85,0.84,0.88,0.86,0.815,0.885,0.845,0.895,0.855,0.835,0.865,0.84,0.87,0.89,0.82,0.885,0.8611999999999997
10,0.845,0.84,0.895,0.84,0.89,0.825,0.865,0.89,0.865,0.86,0.865,0.865,0.865,0.865,0.835,0.845,0.85,0.855,0.865,0.895,0.88,0.885,0.845,0.85,0.84,0.865,0.86,0.83,0.825,0.89,0.88,0.85,0.84,0.865,0.85,0.92,0.82,0.865,0.82,0.89,0.85,0.865,0.87,0.845,0.865,0.895,0.845,0.85,0.825,0.9,0.87,0.845,0.86,0.85,0.86,0.835,0.855,0.88,0.85,0.88,0.805,0.87,0.88,0.875,0.855,0.865,0.86,0.885,0.855,0.825,0.86,0.83,0.855,0.88,0.87,0.86,0.82,0.855,0.88,0.89,0.865,0.875,0.87,0.855,0.85,0.835,0.875,0.865,0.82,0.885,0.845,0.895,0.845,0.835,0.86,0.84,0.865,0.89,0.825,0.87,0.8592499999999997
15,0.845,0.84,0.88,0.845,0.89,0.82,0.875,0.88,0.87,0.85,0.87,0.86,0.86,0.86,0.835,0.845,0.845,0.85,0.87,0.89,0.875,0.885,0.84,0.84,0.835,0.865,0.875,0.815,0.82,0.88,0.875,0.845,0.83,0.87,0.85,0.92,0.825,0.86,0.825,0.875,0.845,0.865,0.87,0.835,0.87,0.895,0.84,0.84,0.82,0.88,0.87,0.845,0.865,0.85,0.86,0.855,0.855,0.88,0.84,0.875,0.805,0.855,0.875,0.875,0.85,0.85,0.865,0.88,0.855,0.815,0.85,0.835,0.855,0.88,0.865,0.87,0.82,0.86,0.86,0.895,0.855,0.875,0.87,0.85,0.84,0.835,0.87,0.855,0.82,0.875,0.835,0.885,0.845,0.835,0.86,0.84,0.865,0.89,0.82,0.87,0.8564499999999999
20,0.84,0.815,0.89,0.84,0.89,0.82,0.875,0.865,0.87,0.84,0.865,0.855,0.86,0.865,0.84,0.85,0.83,0.84,0.865,0.89,0.855,0.885,0.84,0.845,0.83,0.865,0.865,0.81,0.805,0.885,0.855,0.85,0.84,0.865,0.85,0.92,0.825,0.84,0.82,0.88,0.84,0.87,0.865,0.835,0.845,0.89,0.835,0.825,0.825,0.865,0.86,0.845,0.86,0.85,0.86,0.85,0.86,0.87,0.83,0.855,0.815,0.88,0.875,0.875,0.855,0.85,0.865,0.875,0.855,0.81,0.835,0.82,0.85,0.875,0.855,0.865,0.78,0.86,0.855,0.885,0.86,0.86,0.87,0.84,0.83,0.825,0.865,0.85,0.82,0.885,0.84,0.885,0.845,0.83,0.85,0.845,0.87,0.88,0.82,0.86,0.8523499999999999
25,0.835,0.81,0.895,0.815,0.89,0.815,0.865,0.885,0.84,0.82,0.865,0.855,0.875,0.865,0.815,0.84,0.825,0.82,0.86,0.875,0.835,0.875,0.845,0.83,0.845,0.87,0.86,0.82,0.815,0.865,0.855,0.825,0.825,0.855,0.84,0.905,0.83,0.84,0.82,0.865,0.845,0.86,0.845,0.81,0.845,0.88,0.84,0.835,0.815,0.855,0.85,0.84,0.865,0.85,0.825,0.855,0.845,0.845,0.83,0.83,0.81,0.87,0.87,0.85,0.825,0.845,0.85,0.845,0.85,0.805,0.835,0.805,0.845,0.86,0.84,0.87,0.795,0.86,0.83,0.87,0.845,0.87,0.87,0.83,0.815,0.81,0.855,0.855,0.82,0.875,0.825,0.885,0.83,0.825,0.86,0.84,0.85,0.86,0.81,0.845,0.8445500000000002
30,0.84,0.81,0.85,0.805,0.885,0.8,0.855,0.89,0.805,0.825,0.85,0.845,0.81,0.85,0.82,0.815,0.795,0.81,0.85,0.845,0.81,0.86,0.83,0.82,0.845,0.86,0.86,0.81,0.82,0.84,0.83,0.805,0.82,0.845,0.825,0.9,0.835,0.82,0.805,0.865,0.835,0.825,0.83,0.785,0.845,0.885,0.82,0.815,0.78,0.86,0.81,0.82,0.845,0.835,0.825,0.81,0.855,0.84,0.83,0.805,0.815,0.87,0.855,0.84,0.81,0.84,0.84,0.82,0.835,0.795,0.83,0.77,0.815,0.855,0.83,0.86,0.765,0.84,0.825,0.86,0.825,0.845,0.87,0.815,0.81,0.795,0.855,0.835,0.805,0.86,0.795,0.89,0.82,0.805,0.83,0.83,0.855,0.865,0.805,0.825,0.8312000000000002
35,0.805,0.775,0.75,0.785,0.86,0.7,0.835,0.875,0.775,0.8,0.785,0.83,0.755,0.81,0.77,0.74,0.715,0.79,0.855,0.79,0.775,0.835,0.795,0.78,0.8,0.815,0.84,0.775,0.785,0.78,0.805,0.79,0.805,0.77,0.765,0.86,0.825,0.77,0.785,0.835,0.77,0.78,0.775,0.775,0.83,0.795,0.775,0.815,0.705,0.835,0.785,0.775,0.82,0.77,0.745,0.765,0.83,0.785,0.79,0.785,0.765,0.825,0.81,0.815,0.78,0.795,0.81,0.805,0.815,0.725,0.77,0.7,0.77,0.795,0.805,0.83,0.68,0.805,0.8,0.86,0.805,0.795,0.825,0.755,0.82,0.775,0.825,0.815,0.79,0.86,0.715,0.85,0.78,0.73,0.815,0.795,0.82,0.805,0.785,0.815,0.7923
40,0.71,0.615,0.705,0.73,0.805,0.6,0.79,0.76,0.69,0.675,0.675,0.795,0.67,0.765,0.685,0.645,0.655,0.72,0.735,0.715,0.7,0.805,0.735,0.7,0.67,0.71,0.79,0.725,0.735,0.69,0.785,0.74,0.77,0.675,0.675,0.78,0.715,0.705,0.705,0.7,0.655,0.675,0.71,0.67,0.805,0.62,0.695,0.71,0.65,0.765,0.65,0.73,0.785,0.675,0.705,0.68,0.755,0.65,0.74,0.715,0.685,0.72,0.685,0.775,0.655,0.66,0.75,0.715,0.765,0.67,0.72,0.685,0.67,0.71,0.74,0.695,0.635,0.755,0.76,0.81,0.745,0.695,0.72,0.7,0.765,0.65,0.77,0.71,0.715,0.805,0.645,0.785,0.69,0.685,0.725,0.685,0.675,0.765,0.64,0.79,0.7131000000000002
45,0.57,0.475,0.63,0.585,0.68,0.5,0.645,0.6,0.625,0.575,0.55,0.62,0.585,0.675,0.53,0.565,0.545,0.65,0.655,0.56,0.625,0.675,0.6,0.53,0.58,0.58,0.675,0.56,0.635,0.61,0.71,0.635,0.605,0.56,0.595,0.58,0.575,0.595,0.565,0.575,0.545,0.54,0.62,0.575,0.715,0.55,0.565,0.58,0.55,0.645,0.55,0.625,0.615,0.56,0.61,0.54,0.64,0.55,0.59,0.62,0.6,0.595,0.58,0.66,0.555,0.545,0.55,0.58,0.62,0.565,0.54,0.595,0.63,0.62,0.635,0.565,0.52,0.565,0.685,0.67,0.575,0.605,0.625,0.585,0.62,0.56,0.67,0.56,0.605,0.69,0.515,0.67,0.59,0.62,0.595,0.57,0.605,0.695,0.545,0.705,0.5974999999999998
50,0.445,0.385,0.515,0.465,0.535,0.425,0.44,0.42,0.47,0.475,0.4,0.45,0.46,0.535,0.415,0.43,0.405,0.445,0.495,0.47,0.42,0.55,0.455,0.385,0.425,0.435,0.51,0.35,0.44,0.465,0.515,0.45,0.415,0.44,0.475,0.485,0.465,0.45,0.485,0.435,0.435,0.465,0.475,0.46,0.47,0.47,0.405,0.46,0.49,0.545,0.455,0.485,0.405,0.41,0.45,0.37,0.53,0.46,0.45,0.4,0.405,0.44,0.41,0.53,0.43,0.425,0.365,0.44,0.505,0.45,0.42,0.49,0.46,0.48,0.515,0.445,0.395,0.415,0.56,0.51,0.44,0.5,0.51,0.455,0.485,0.44,0.51,0.42,0.43,0.505,0.38,0.54,0.49,0.405,0.51,0.39,0.43,0.465,0.43,0.52,0.45565000000000005
55,0.315,0.285,0.395,0.33,0.34,0.275,0.255,0.27,0.315,0.385,0.29,0.31,0.305,0.325,0.32,0.34,0.3,0.27,0.295,0.3,0.33,0.345,0.305,0.23,0.23,0.31,0.29,0.225,0.31,0.3,0.4,0.33,0.235,0.325,0.4,0.365,0.215,0.235,0.405,0.275,0.34,0.325,0.315,0.31,0.265,0.32,0.31,0.31,0.39,0.345,0.36,0.385,0.245,0.31,0.315,0.225,0.41,0.35,0.355,0.305,0.315,0.305,0.24,0.385,0.335,0.29,0.215,0.34,0.395,0.34,0.325,0.34,0.335,0.36,0.385,0.34,0.265,0.33,0.39,0.425,0.345,0.39,0.355,0.33,0.315,0.315,0.445,0.29,0.3,0.365,0.29,0.385,0.3,0.305,0.34,0.19,0.305,0.32,0.325,0.385,0.3202000000000001
60,0.18,0.18,0.28,0.255,0.21,0.18,0.13,0.195,0.195,0.235,0.125,0.195,0.135,0.175,0.195,0.175,0.21,0.18,0.19,0.17,0.215,0.26,0.17,0.135,0.125,0.205,0.16,0.145,0.175,0.205,0.285,0.195,0.1,0.235,0.31,0.275,0.1,0.1,0.23,0.1,0.255,0.185,0.235,0.18,0.15,0.2,0.135,0.225,0.285,0.265,0.225,0.3,0.135,0.23,0.225,0.17,0.29,0.185,0.23,0.22,0.21,0.16,0.135,0.275,0.21,0.17,0.13,0.22,0.275,0.185,0.315,0.21,0.185,0.19,0.32,0.21,0.14,0.225,0.21,0.315,0.29,0.31,0.22,0.255,0.22,0.215,0.35,0.165,0.15,0.21,0.21,0.27,0.15,0.16,0.26,0.095,0.19,0.195,0.265,0.255,0.20565
65,0.09,0.085,0.145,0.135,0.11,0.06,0.065,0.125,0.09,0.14,0.075,0.1,0.09,0.085,0.105,0.07,0.105,0.13,0.115,0.105,0.145,0.19,0.09,0.1,0.09,0.105,0.12,0.06,0.085,0.095,0.18,0.09,0.06,0.155,0.175,0.185,0.05,0.045,0.155,0.075,0.165,0.09,0.13,0.085,0.1,0.065,0.045,0.145,0.205,0.155,0.09,0.21,0.055,0.105,0.12,0.085,0.115,0.115,0.13,0.14,0.12,0.07,0.07,0.19,0.115,0.085,0.075,0.13,0.18,0.05,0.265,0.115,0.065,0.075,0.195,0.115,0.055,0.105,0.125,0.195,0.18,0.24,0.11,0.135,0.105,0.135,0.245,0.09,0.065,0.11,0.165,0.135,0.065,0.08,0.165,0.055,0.115,0.09,0.14,0.16,0.11604999999999994
70,0.035,0.03,0.06,0.07,0.075,0.04,0.025,0.065,0.045,0.05,0.025,0.035,0.055,0.025,0.065,0.045,0.035,0.085,0.06,0.08,0.09,0.135,0.04,0.025,0.06,0.02,0.055,0.035,0.03,0.05,0.075,0.02,0.05,0.06,0.085,0.11,0.045,0.025,0.05,0.035,0.055,0.035,0.08,0.045,0.065,0.025,0.01,0.12,0.13,0.08,0.04,0.12,0.025,0.03,0.045,0.035,0.045,0.065,0.05,0.08,0.06,0.04,0.035,0.08,0.035,0.035,0.03,0.085,0.1,0.03,0.175,0.055,0.045,0.03,0.09,0.055,0.04,0.06,0.07,0.08,0.085,0.15,0.075,0.05,0.07,0.02,0.17,0.035,0.025,0.035,0.12,0.05,0.045,0.04,0.09,0.04,0.07,0.05,0.085,0.08,0.05895
75,0.015,0.015,0.035,0.03,0.04,0.03,0.015,0.045,0.035,0.025,0.02,0.025,0.03,0.025,0.06,0.03,0.015,0.045,0.015,0.03,0.04,0.04,0.035,0.02,0.05,0.01,0.045,0.025,0.015,0.025,0.035,0.02,0.04,0.015,0.03,0.055,0.025,0.015,0.035,0.03,0.04,0.025,0.035,0.035,0.035,0.015,0.01,0.095,0.045,0.04,0.02,0.07,0.02,0.015,0.015,0.035,0.035,0.04,0.025,0.025,0.04,0.015,0.025,0.035,0.02,0.04,0.03,0.03,0.055,0.02,0.105,0.025,0.025,0.01,0.045,0.015,0.035,0.04,0.03,0.015,0.055,0.05,0.03,0.045,0.03,0.02,0.085,0.03,0.03,0.025,0.045,0.025,0.015,0.025,0.03,0.03,0.04,0.025,0.055,0.045,0.03249999999999997
80,0.01,0.015,0.025,0.025,0.035,0.03,0.015,0.04,0.015,0.03,0.01,0.02,0.04,0.015,0.06,0.035,0.005,0.035,0.015,0.025,0.025,0.045,0.04,0.015,0.035,0.01,0.03,0.025,0.025,0.015,0.035,0.02,0.035,0.025,0.015,0.02,0.02,0.015,0.03,0.03,0.025,0.02,0.025,0.035,0.015,0.005,0.005,0.04,0.045,0.035,0.01,0.06,0.02,0.01,0.01,0.035,0.03,0.03,0.025,0.005,0.03,0.015,0.025,0.015,0.03,0.04,0.03,0.02,0.045,0.02,0.07,0.025,0.02,0.015,0.035,0.015,0.02,0.03,0.015,0.025,0.025,0.02,0.03,0.04,0.025,0.015,0.055,0.01,0.03,0.02,0.02,0.02,0.015,0.02,0.02,0.02,0.015,0.02,0.035,0.025,0.025149999999999992
85,0.01,0.005,0.02,0.025,0.03,0.025,0.005,0.04,0.02,0.035,0.01,0.02,0.035,0.005,0.045,0.04,0.01,0.015,0.02,0.02,0.025,0.03,0.03,0.015,0.035,0.015,0.025,0.025,0.02,0.015,0.025,0.025,0.025,0.02,0.015,0.015,0.02,0.015,0.03,0.025,0.025,0.02,0.015,0.035,0.015,0.005,0.01,0.03,0.035,0.035,0.015,0.055,0.025,0.01,0.01,0.03,0.03,0.03,0.025,0.005,0.025,0.01,0.03,0.02,0.02,0.03,0.03,0.015,0.035,0.015,0.015,0.03,0.015,0.015,0.025,0.015,0.03,0.025,0.015,0.01,0.025,0.015,0.02,0.035,0.015,0.015,0.05,0.01,0.025,0.015,0.02,0.015,0.015,0.02,0.02,0.02,0.015,0.02,0.025,0.025,0.021899999999999985
90,0.01,0.005,0.02,0.025,0.03,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0.035,0.005,0.03,0.04,0.015,0.025,0.02,0.025,0.015,0.025,0.025,0.015,0.035,0.015,0.02,0.025,0.025,0.02,0.025,0.02,0.03,0.02,0.015,0.01,0.02,0.015,0.035,0.025,0.02,0.015,0.02,0.035,0.015,0.005,0.01,0.02,0.03,0.03,0.015,0.05,0.02,0.01,0.015,0.04,0.025,0.025,0.02,0.005,0.025,0.01,0.025,0.02,0.02,0.025,0.03,0.005,0.025,0.01,0.01,0.025,0.02,0.015,0.02,0.015,0.03,0.035,0.015,0.01,0.02,0.02,0.02,0.03,0.02,0.015,0.045,0.005,0.03,0.015,0.015,0.02,0.015,0.015,0.02,0.02,0.01,0.02,0.025,0.025,0.020699999999999986
95,0.015,0.015,0.015,0.02,0.03,0.02,0.015,0.03,0.02,0.025,0.01,0.02,0.035,0.005,0.025,0.04,0.015,0.02,0.02,0.015,0.015,0.03,0.025,0.015,0.035,0.01,0.02,0.025,0.025,0.025,0.02,0.02,0.03,0.02,0.015,0.015,0.02,0.015,0.03,0.02,0.02,0.02,0.02,0.035,0.015,0.005,0.01,0.02,0.025,0.03,0.015,0.045,0.015,0.01,0.015,0.04,0.02,0.02,0.015,0.005,0.025,0.02,0.015,0.02,0.015,0.03,0.03,0.005,0.02,0.015,0.02,0.025,0.015,0.015,0.02,0.015,0.035,0.035,0.02,0.01,0.02,0.02,0.01,0.025,0.02,0.015,0.04,0.015,0.02,0.02,0.025,0.025,0.015,0.015,0.02,0.02,0.01,0.015,0.035,0.025,0.020549999999999985
100,0.015,0.01,0.015,0.02,0.035,0.02,0.005,0.025,0.015,0.02,0.01,0.02,0.035,0.005,0.025,0.035,0.01,0.025,0.02,0.01,0.01,0.03,0.02,0.015,0.035,0.01,0.02,0.02,0.025,0.03,0.02,0.015,0.03,0.025,0.015,0.005,0.02,0.015,0.03,0.015,0.015,0.015,0.015,0.03,0.015,0.005,0.01,0.02,0.025,0.035,0.015,0.04,0.015,0.01,0.01,0.035,0.015,0.025,0.02,0.005,0.025,0.01,0.015,0.015,0.02,0.025,0.03,0.005,0.02,0.02,0.015,0.025,0.015,0.015,0.015,0.02,0.03,0.03,0.015,0.01,0.02,0.025,0.01,0.02,0.025,0.015,0.03,0.015,0.02,0.02,0.02,0.025,0.015,0.015,0.02,0.015,0.01,0.015,0.035,0.015,0.019149999999999986
