perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3899,0,97,4,0,0,3960,0,40,0,132,0,3868,0,0,12,0,0,3988,0,0,0,0,0,4000,MBW_LR
5,3920,1,55,14,10,73,3838,3,86,0,196,0,3804,0,0,47,56,5,3889,3,2,90,1,5,3902,MBW_LR
10,3897,1,80,13,9,149,3729,0,117,5,264,0,3736,0,0,56,91,0,3851,2,0,244,0,1,3755,MBW_LR
15,3836,0,134,22,8,188,3647,0,165,0,320,0,3680,0,0,56,142,0,3800,2,5,403,0,0,3592,MBW_LR
20,3715,0,246,30,9,277,3506,0,211,6,377,1,3622,0,0,68,205,0,3725,2,2,575,0,2,3421,MBW_LR
25,3598,2,364,22,14,366,3389,0,243,2,441,1,3558,0,0,85,323,0,3592,0,7,741,0,0,3252,MBW_LR
30,3400,2,560,25,13,454,3241,0,301,4,510,1,3489,0,0,92,459,0,3448,1,12,936,0,0,3052,MBW_LR
35,3127,6,829,27,11,577,3079,0,341,3,600,1,3399,0,0,113,676,0,3209,2,20,1134,0,1,2845,MBW_LR
40,2839,7,1122,19,13,682,2908,0,402,8,747,1,3251,0,1,126,900,0,2972,2,25,1354,0,1,2620,MBW_LR
45,2497,7,1458,25,13,805,2710,0,475,10,1013,1,2986,0,0,129,1177,0,2690,4,31,1618,0,1,2350,MBW_LR
50,2102,6,1857,21,14,952,2506,0,532,10,1547,1,2452,0,0,138,1473,0,2387,2,39,1894,0,2,2065,MBW_LR
55,1703,12,2251,19,15,1134,2227,0,628,11,2373,1,1626,0,0,142,1830,0,2025,3,42,2142,0,1,1815,MBW_LR
60,1346,17,2606,20,11,1285,1985,0,713,17,3144,1,855,0,0,134,2198,0,1662,6,50,2458,0,0,1492,MBW_LR
65,1012,20,2940,17,11,1479,1693,1,813,14,3541,1,458,0,0,116,2589,1,1287,7,51,2717,0,1,1231,MBW_LR
70,727,28,3223,14,8,1625,1432,1,921,21,3661,2,337,0,0,91,2948,0,952,9,58,3001,0,2,939,MBW_LR
75,492,27,3468,7,6,1789,1167,1,1002,41,3716,5,279,0,0,81,3244,2,667,6,74,3235,0,2,689,MBW_LR
80,319,24,3647,3,7,1918,956,1,1082,43,3756,6,238,0,0,69,3495,4,428,4,85,3399,0,1,515,MBW_LR
85,185,22,3786,1,6,2041,784,1,1132,42,3803,8,189,0,0,59,3667,6,265,3,101,3577,0,3,319,MBW_LR
90,94,16,3881,1,8,2129,577,1,1242,51,3827,4,168,0,1,48,3810,3,134,5,114,3701,0,10,175,MBW_LR
95,48,14,3936,0,2,2289,341,1,1302,67,3851,1,148,0,0,43,3906,13,37,1,154,3755,0,11,80,MBW_LR
100,121,21,3855,3,0,2392,128,2,1394,84,3874,0,126,0,0,69,3891,23,17,0,222,3746,8,24,0,MBW_LR
