perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3608,0,391,0,1,0,3775,14,211,0,2,0,3998,0,0,0,0,0,4000,0,0,493,0,20,3487,WDI_1NN
5,3611,0,389,0,0,0,3791,15,194,0,0,0,4000,0,0,2,0,0,3998,0,0,534,0,20,3446,WDI_1NN
10,3626,0,374,0,0,0,3846,15,139,0,15,0,3985,0,0,10,0,0,3990,0,0,588,0,20,3392,WDI_1NN
15,3625,0,375,0,0,1,3887,14,98,0,34,0,3966,0,0,11,0,1,3988,0,0,628,0,12,3360,WDI_1NN
20,3612,0,388,0,0,0,3897,15,88,0,94,0,3906,0,0,8,0,2,3990,0,0,700,0,1,3299,WDI_1NN
25,3597,0,403,0,0,3,3884,15,98,0,161,0,3839,0,0,9,0,0,3991,0,0,729,0,0,3271,WDI_1NN
30,3551,0,449,0,0,10,3867,10,113,0,359,0,3641,0,0,10,0,0,3990,0,0,745,0,0,3255,WDI_1NN
35,3450,0,550,0,0,20,3803,7,170,0,664,0,3336,0,0,8,0,2,3990,0,0,780,0,0,3220,WDI_1NN
40,3181,0,819,0,0,32,3627,4,337,0,1090,0,2910,0,0,7,0,5,3988,0,0,796,0,0,3204,WDI_1NN
45,2313,0,1687,0,0,43,3194,2,760,1,1285,0,2715,0,0,10,0,5,3985,0,0,788,0,0,3212,WDI_1NN
50,978,0,3022,0,0,65,2356,1,1572,6,1298,0,2702,0,0,10,0,14,3976,0,0,775,0,0,3225,WDI_1NN
55,426,0,3574,0,0,111,1396,0,2484,9,1321,0,2679,0,0,11,12,23,3954,0,0,783,0,0,3217,WDI_1NN
60,276,0,3724,0,0,163,644,0,3179,14,1396,0,2604,0,0,17,78,27,3878,0,0,765,0,4,3231,WDI_1NN
65,246,0,3754,0,0,181,230,0,3564,25,1650,0,2350,0,0,18,282,34,3666,0,0,792,0,12,3196,WDI_1NN
70,255,1,3744,0,0,185,83,0,3694,38,2011,0,1989,0,0,30,695,23,3252,0,0,785,0,28,3187,WDI_1NN
75,282,5,3713,0,0,169,49,0,3734,48,2326,0,1674,0,0,28,1352,5,2615,0,1,844,1,63,3091,WDI_1NN
80,307,25,3668,0,0,154,12,0,3764,70,2646,0,1354,0,0,19,2126,1,1854,0,1,859,0,95,3045,WDI_1NN
85,321,47,3632,0,0,133,4,0,3767,96,2818,0,1182,0,0,10,2833,0,1157,0,9,1068,0,106,2817,WDI_1NN
90,341,62,3597,0,0,123,1,0,3716,160,3048,1,951,0,0,11,3283,0,706,0,31,1588,2,90,2289,WDI_1NN
95,363,79,3558,0,0,115,2,0,3547,336,3247,1,752,0,0,25,3496,0,479,0,68,2474,15,56,1387,WDI_1NN
100,413,102,3485,0,0,133,2,0,3087,778,3385,6,609,0,0,89,3647,1,252,11,56,3611,8,104,221,WDI_1NN
