fold,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4
0,0,3,156,1,0,115,0,0,43,2,160,0,0,0,0,7,153,0,0,0,0,160,0,0,0
1,0,1,159,0,0,126,0,0,34,0,160,0,0,0,0,2,158,0,0,0,20,140,0,0,0
2,0,1,158,1,0,87,0,0,57,16,160,0,0,0,0,5,155,0,0,0,3,157,0,0,0
3,0,0,160,0,0,43,0,0,107,10,160,0,0,0,0,2,158,0,0,0,0,160,0,0,0
4,0,5,154,1,0,92,0,0,51,17,160,0,0,0,0,3,157,0,0,0,0,160,0,0,0
5,0,2,157,1,0,100,0,0,58,2,160,0,0,0,0,12,148,0,0,0,9,151,0,0,0
6,0,2,157,1,0,122,0,0,38,0,160,0,0,0,0,4,156,0,0,0,6,154,0,0,0
7,0,4,155,1,0,102,0,0,55,3,160,0,0,0,0,3,157,0,0,0,5,155,0,0,0
8,0,0,160,0,0,98,0,0,61,1,160,0,0,0,0,9,151,0,0,0,5,155,0,0,0
9,0,0,159,1,0,119,0,0,41,0,160,0,0,0,0,58,102,0,0,0,5,155,0,0,0
10,0,2,157,1,0,81,0,0,77,2,160,0,0,0,0,45,115,0,0,0,1,157,0,2,0
11,0,0,159,1,0,121,0,0,36,3,160,0,0,0,0,9,151,0,0,0,0,160,0,0,0
12,0,0,160,0,0,109,0,0,47,4,160,0,0,0,0,5,155,0,0,0,12,148,0,0,0
13,0,0,159,1,0,97,0,0,47,16,160,0,0,0,0,2,158,0,0,0,1,159,0,0,0
14,0,0,159,1,0,73,0,0,77,10,160,0,0,0,0,5,155,0,0,0,3,155,0,2,0
15,0,2,158,0,0,99,0,0,45,16,160,0,0,0,0,2,158,0,0,0,4,156,0,0,0
16,0,5,155,0,0,83,0,0,63,14,160,0,0,0,0,4,156,0,0,0,7,153,0,0,0
17,0,0,159,1,0,124,0,0,36,0,160,0,0,0,0,4,156,0,0,0,1,159,0,0,0
18,0,1,158,1,0,79,0,0,81,0,160,0,0,0,0,3,157,0,0,0,94,66,0,0,0
19,0,0,159,1,0,86,0,0,68,6,160,0,0,0,0,23,137,0,0,0,22,138,0,0,0
20,0,0,159,1,0,81,0,0,67,12,160,0,0,0,0,4,156,0,0,0,4,156,0,0,0
